genome_id	st	family	carbapenemase	country	study
3WCUueHWWitxF29LDcNBg1	ST3123	negative		Senegal	PRJEB29143
1RXztsojJqnvkTR9a9NXZ6	ST29	negative		Senegal	PRJEB29143
w6MPevbE8wpJfQejowGtQZ	ST39	negative		Ghana	PRJNA473419
rpT6nbbz9R8UF6yARvuEyz	ST34	negative		Nigeria	PRJNA351846
wgAdqqd6Up7MEoM7Vt6GXb	ST25	negative		Ghana	PRJEB37523
wB3Fj8XZh7JhhN3cus12eN	ST17	negative		Nigeria	PRJEB56918
fm2r9e8621BM8zH6Ly1sTk	ST39	negative		Nigeria	PRJEB29739
9RhMYsQKag5K66mFK1tD7W	ST307	negative		Nigeria	PRJEB29739
dSpqW4TtLMp5jxf16ShoPH	ST392	NDM	NDM-1	Nigeria	PRJEB29739
qGZQwxzyQbG9xv2FqV4dvb	ST307	negative		NG - Nigeria	PRJEB33565
jBvDDt7BspaLmDx9ktp1U1	ST25	negative		Ghana	PRJEB37523
hqgrhRJ5wzXsFmNFw9knve	ST73	negative		Ghana	PRJEB56918
fzMzq2HmX4xgAcvRsyQ6VR	ST1661	negative		Senegal	PRJEB29143
tPC3fHPm4cUAQydyX8S6Nx	ST5241	negative		Nigeria	PRJEB29739
xiaFujBbb97VoVyVGb2yFU	ST307	negative		Nigeria	PRJEB29739
oB3TSFz5G1nGLNfPPZjaad	ST442	negative		NG	PRJNA800729
vPFn7kLRcVDnEWpF1jWVsJ	ST281	negative		Senegal	PRJEB29143
oymroXCpnMLhvoznap35cu	ST101	negative		NG - Nigeria	PRJEB29739
dqMxqA3iXxzipcgh6L1Jez	ST15	negative		Nigeria	PRJNA351846
jD2UahaQxsHd6jRmo249J5	ST2715	negative		Senegal	PRJEB29143
vpw2ESM6jajoMQ2XEVU1uU	ST3113	negative		Nigeria	PRJEB56918
chJPYxhsbCDg8adwrZLafv	ST4263	negative		Nigeria	PRJEB56918
3ndyvGuykXzTNVihqbCEFm	ST340	negative		NG - Nigeria	PRJEB33565
vSayktwZYDYJyC8Bz6RM7t	ST15	NDM	NDM-1	Nigeria	PRJEB29739
2zgoyJTUXSoaq7L6h7QWn6	ST17	negative		NG - Nigeria	PRJEB29739
ef91Cfz9yTsJS9F1xvdgfC	ST307	negative		Nigeria	PRJEB29739
nxRWuuvbXsuD3fkU81Pka5	ST147	NDM	NDM-1	Nigeria	PRJEB27707
h8AfVHpdtjsNg5MSHMGEP2	ST1189	negative		Senegal	PRJEB29143
9sCrDmU7GUKoZJiBUQX7Ju	ST13	negative		NG - Nigeria	PRJEB33565
fP65g7jgZat9zmySmmcDEH	ST17	OXA	OXA-181	Ghana	PRJEB37523
1wxKRsWY6A8PVJRe5M9yHj	ST491	negative		Senegal	PRJEB29143
1QC6gsyR4pdPR6Arv3PofN	ST442	NDM	NDM-1	NG - Nigeria	PRJEB33565
kV8NN26gn4zMzUrVmiuv4F	ST967	negative		SN	PRJEB78995
wN3gr2Xzq26k75wUJNBtC1	ST502	negative		Nigeria	PRJEB29739
vTLBnVx7RFdfifC3vCaVvn	ST5241	negative		Nigeria	PRJEB29739
ru7Tt1Xx7t3XWW6LAU7GY6	ST420	negative		Nigeria	PRJNA351846
sw6a6rkZJH6Mb4A3jHLFfK	ST4	negative		Nigeria	PRJEB29739
4Hnraj3XgcJrSeDnYDpxAb	ST292	negative		Senegal	PRJEB29143
bL6NJqitzvkQG79RwxfPZo	ST25	OXA	OXA-181	Ghana	PRJEB56918
