st	n_genomes	n_positive	families	alleles	median_within_positive	min_within_positive	max_within_positive	median_positive_to_negative	clusters_at_10	largest_cluster	min_acquisitions	n_studies	studies	single_study_clone
ST17	48	28	OXA	OXA-181	1.0	0.0	7.0	116.6	1	28	1	1	PRJEB37523=28	True
ST464	13	10	NDM	NDM-7	3.0	0.0	20.4	9.0	2	9	2	2	PRJEB33565=7; PRJEB39293=3	False
ST147	24	9	NDM	NDM-1	14.0	0.0	21.1	36.1	3	5	3	3	PRJEB27707=5; PRJEB56918=3; PRJEB29739=1	False
ST395	9	8	NDM	NDM-1	1.0	0.0	3.0	0.0	1	8	1	2	PRJEB27707=6; PRJEB33565=2	False
ST442	8	6	NDM	NDM-1	2.0	1.0	2.0	49.2	1	6	1	1	PRJEB33565=6	True
ST20	6	4	NDM	NDM-1	2.0	0.0	4.0	59.2	1	4	1	2	PRJEB33565=3; PRJEB39293=1	False
ST392	8	4	NDM|OXA	NDM-1|OXA-48	12.0	7.0	18.1	8.5	3	2	3	3	PRJEB29739=2; PRJEB56918=1; PRJEB78995=1	False
ST15	21	3	NDM	NDM-1	26.0	17.1	28.1	20.0	3	1	3	2	PRJEB27707=2; PRJEB29739=1	False
ST234	3	3	OXA	OXA-181	5.0	0.0	5.0		1	3	1	1	PRJEB78995=3	True
ST4410	3	3	NDM	NDM-1	1.0	1.0	1.0		1	3	1	1	PRJEB33565=3	True
ST530	4	2	NDM	NDM-5	0.0	0.0	0.0	4.0	1	2	1	1	PRJEB29739=2	True
ST307	32	2	NDM|OXA	NDM-1|OXA-48	10.0	10.0	10.0	9.0	2	1	2	2	PRJEB78995=1; PRJEB29739=1	False
ST340	7	2	NDM|OXA	NDM-1|OXA-181	4.0	4.0	4.0	6.5	1	2	2	2	PRJEB27707=1; PRJEB29739=1	False
ST11	3	1	NDM	NDM-5				52.1	1	1	1	1	PRJEB33565=1	False
ST464-1LV	1	1	NDM	NDM-7					1	1	1	1	PRJEB33565=1	False
ST5245	1	1	NDM	NDM-1					1	1	1	1	PRJEB29739=1	False
ST540	1	1	NDM	NDM-1					1	1	1	1	PRJEB38442=1	False
ST48	12	1	OXA	OXA-181				14.0	1	1	1	1	PRJEB37523=1	False
ST39	16	1	NDM	NDM-7				17.1	1	1	1	1	PRJEB39293=1	False
ST43	2	1	NDM	NDM-1				184.3	1	1	1	1	PRJEB29739=1	False
ST4	7	1	NDM	NDM-1				4.5	1	1	1	1	PRJEB27707=1	False
ST377	1	1	NDM	NDM-1					1	1	1	1	PRJEB33565=1	False
ST25	29	1	OXA	OXA-181				7.0	1	1	1	1	PRJEB56918=1	False
ST244	1	1	NDM	NDM-1					1	1	1	1	PRJEB39293=1	False
ST219	2	1	OXA	OXA-48				4.0	1	1	1	1	PRJEB29739=1	False
ST1788	4	1	OXA	OXA-48				1.0	1	1	1	1	PRJNA351846=1	False
ST152	4	1	NDM+OXA	NDM-1;OXA-48				73.2	1	1	1	1	PRJEB46496=1	False
ST716	5	1	NDM	NDM-1				5.0	1	1	1	1	PRJEB29739=1	False
