"Genome ID","Genome Name","Status","QC","Assembly pipeline","Species Prediction","NCBI Tax ID","Date","Country","Citation","INSDC Run Accession","INSDC Sample Accession","INSDC Study Accession"
"3WCUueHWWitxF29LDcNBg1","SAMEA5753723","Supported","Passed","N/A","Klebsiella pneumoniae","573","2016","SN - Senegal",,"ERR3416279","SAMEA5753723","PRJEB29143"
"1RXztsojJqnvkTR9a9NXZ6","SAMEA5753775","Supported","Passed","N/A","Klebsiella pneumoniae","573","2016","SN - Senegal",,"ERR3416349","SAMEA5753775","PRJEB29143"
"w6MPevbE8wpJfQejowGtQZ","SAMN36884877","Supported","Passed","N/A","Klebsiella pneumoniae","573","2016-04-01","GH - Ghana",,"SRR25565282","SAMN36884877","PRJNA473419"
"rpT6nbbz9R8UF6yARvuEyz","SAMN05960897","Supported","Passed","N/A","Klebsiella pneumoniae","573","2014-04-08","NG - Nigeria",,"SRR5513504","SAMN05960897","PRJNA351846"
"wgAdqqd6Up7MEoM7Vt6GXb","SAMEA6654218","Supported","Passed","N/A","Klebsiella pneumoniae","573","2019-01-18","GH - Ghana",,"ERR4008018","SAMEA6654218","PRJEB37523"
"wB3Fj8XZh7JhhN3cus12eN","SAMEA111505134","Supported","Passed","N/A","Klebsiella pneumoniae","573","2020-11-06","NG - Nigeria",,"ERR10438949","SAMEA111505134","PRJEB56918"
"fm2r9e8621BM8zH6Ly1sTk","SAMEA6155746","Supported","Passed","N/A","Klebsiella pneumoniae","573","2017-06-15","NG - Nigeria","pmid:34850837","ERR4783189","SAMEA6155746","PRJEB29739"
"9RhMYsQKag5K66mFK1tD7W","SAMEA6155852","Supported","Passed","N/A","Klebsiella pneumoniae","573","2017-06-15","NG - Nigeria","pmid:34850837","ERR4783370","SAMEA6155852","PRJEB29739"
"dSpqW4TtLMp5jxf16ShoPH","SAMEA6155959","Supported","Passed","N/A","Klebsiella pneumoniae","573","","NG - Nigeria","pmid:34850837","ERR4783440","SAMEA6155959","PRJEB29739"
"qGZQwxzyQbG9xv2FqV4dvb","SAMEA7472389","Supported","Passed","N/A","Klebsiella pneumoniae","573","2016-05","NG - Nigeria","pmid:33782558","ERR4920498","SAMEA7472389","PRJEB33565"
"jBvDDt7BspaLmDx9ktp1U1","SAMEA6654212","Supported","Passed","N/A","Klebsiella pneumoniae","573","2018-01-15","GH - Ghana",,"ERR4008012","SAMEA6654212","PRJEB37523"
"hqgrhRJ5wzXsFmNFw9knve","SAMEA111504603","Supported","Passed","N/A","Klebsiella pneumoniae","573","2020-03-09","GH - Ghana",,"ERR10438020","SAMEA111504603","PRJEB56918"
"fzMzq2HmX4xgAcvRsyQ6VR","SAMEA5753759","Supported","Passed","N/A","Klebsiella pneumoniae","573","2016","SN - Senegal",,"ERR3416320","SAMEA5753759","PRJEB29143"
"tPC3fHPm4cUAQydyX8S6Nx","SAMEA6155842","Supported","Passed","N/A","Klebsiella pneumoniae","573","2018-01-14","NG - Nigeria","pmid:34850837","ERR4782989","SAMEA6155842","PRJEB29739"
"xiaFujBbb97VoVyVGb2yFU","SAMEA6155926","Supported","Passed","N/A","Klebsiella pneumoniae","573","","NG - Nigeria","pmid:34850837","ERR4783436","SAMEA6155926","PRJEB29739"
"oB3TSFz5G1nGLNfPPZjaad","SAMN45807624","Supported","Passed","v1","Klebsiella pneumoniae","573","2015-06-06","NG - Nigeria",,"SRR31698794","SAMN45807624","PRJNA800729"
"vPFn7kLRcVDnEWpF1jWVsJ","SAMEA5753704","Supported","Passed","N/A","Klebsiella pneumoniae","573","2016","SN - Senegal",,"ERR3416255","SAMEA5753704","PRJEB29143"
"oymroXCpnMLhvoznap35cu","SAMEA6155844","Supported","Passed","N/A","Klebsiella pneumoniae","573","2018-02-01","NG - Nigeria","pmid:34850837","ERR4783360","SAMEA6155844","PRJEB29739"
"dqMxqA3iXxzipcgh6L1Jez","SAMN05960908","Supported","Passed","N/A","Klebsiella pneumoniae","573","2013-06-19","NG - Nigeria",,"SRR5513518","SAMN05960908","PRJNA351846"
"jD2UahaQxsHd6jRmo249J5","SAMEA5753439","Supported","Passed","N/A","Klebsiella pneumoniae","573","2016","SN - Senegal",,"ERR3416337","SAMEA5753439","PRJEB29143"
"vpw2ESM6jajoMQ2XEVU1uU","SAMEA111505117","Supported","Passed","N/A","Klebsiella pneumoniae","573","2020-04-20","NG - Nigeria",,"ERR10438912","SAMEA111505117","PRJEB56918"
"chJPYxhsbCDg8adwrZLafv","SAMEA111505125","Supported","Passed","N/A","Klebsiella pneumoniae","573","2020-10-28","NG - Nigeria",,"ERR10438920","SAMEA111505125","PRJEB56918"
"3ndyvGuykXzTNVihqbCEFm","SAMEA7472352","Supported","Passed","N/A","Klebsiella pneumoniae","573","2016-05","NG - Nigeria","pmid:33782558","ERR4920491","SAMEA7472352","PRJEB33565"
"vSayktwZYDYJyC8Bz6RM7t","SAMEA6422737","Supported","Passed","N/A","Klebsiella pneumoniae","573","","NG - Nigeria","pmid:34850837","ERR4783560","SAMEA6422737","PRJEB29739"
"2zgoyJTUXSoaq7L6h7QWn6","SAMEA6155878","Supported","Passed","N/A","Klebsiella pneumoniae","573","2018-03-15","NG - Nigeria","pmid:34850837","ERR4783396","SAMEA6155878","PRJEB29739"
"ef91Cfz9yTsJS9F1xvdgfC","SAMEA6422734","Supported","Passed","N/A","Klebsiella pneumoniae","573","","NG - Nigeria","pmid:34850837","ERR4783561","SAMEA6422734","PRJEB29739"
"nxRWuuvbXsuD3fkU81Pka5","SAMEA4785019","Supported","Passed","N/A","Klebsiella pneumoniae","573","2017","NG - Nigeria",,"ERR2695869","SAMEA4785019","PRJEB27707"
"h8AfVHpdtjsNg5MSHMGEP2","SAMEA5753755","Supported","Passed","N/A","Klebsiella pneumoniae","573","2016","SN - Senegal",,"ERR3416316","SAMEA5753755","PRJEB29143"
"9sCrDmU7GUKoZJiBUQX7Ju","SAMEA7472470","Supported","Passed","N/A","Klebsiella pneumoniae","573","2016-05","NG - Nigeria","pmid:33782558","ERR4920522","SAMEA7472470","PRJEB33565"
"fP65g7jgZat9zmySmmcDEH","SAMEA6654240","Supported","Passed","N/A","Klebsiella pneumoniae","573","2017-09-21","GH - Ghana",,"ERR4008040","SAMEA6654240","PRJEB37523"
"1wxKRsWY6A8PVJRe5M9yHj","SAMEA5753762","Supported","Passed","N/A","Klebsiella pneumoniae","573","2016","SN - Senegal",,"ERR3416329","SAMEA5753762","PRJEB29143"
"1QC6gsyR4pdPR6Arv3PofN","SAMEA7472508","Supported","Passed","N/A","Klebsiella pneumoniae","573","2016-05","NG - Nigeria","pmid:33782558","ERR4920542","SAMEA7472508","PRJEB33565"
"kV8NN26gn4zMzUrVmiuv4F","SAMEA115925726","Supported","Passed","v1","Klebsiella pneumoniae","573","2021-08-30","SN - Senegal",,"ERR13492075","SAMEA115925726","PRJEB78995"
"wN3gr2Xzq26k75wUJNBtC1","SAMEA6155785","Supported","Passed","N/A","Klebsiella pneumoniae","573","2018-11-03","NG - Nigeria","pmid:34850837","ERR4783249","SAMEA6155785","PRJEB29739"
"vTLBnVx7RFdfifC3vCaVvn","SAMEA6155816","Supported","Passed","N/A","Klebsiella pneumoniae","573","2018-01-17","NG - Nigeria","pmid:34850837","ERR4783273","SAMEA6155816","PRJEB29739"
"ru7Tt1Xx7t3XWW6LAU7GY6","SAMN05960943","Supported","Passed","N/A","Klebsiella pneumoniae","573","2016-07-29","NG - Nigeria",,"SRR5513570","SAMN05960943","PRJNA351846"
"sw6a6rkZJH6Mb4A3jHLFfK","SAMEA6155817","Supported","Passed","N/A","Klebsiella pneumoniae","573","","NG - Nigeria","pmid:34850837","ERR4783324","SAMEA6155817","PRJEB29739"
"4Hnraj3XgcJrSeDnYDpxAb","SAMEA5753353","Supported","Passed","N/A","Klebsiella pneumoniae","573","2016","SN - Senegal",,"ERR3416323","SAMEA5753353","PRJEB29143"
"bL6NJqitzvkQG79RwxfPZo","SAMEA111504606","Supported","Passed","N/A","Klebsiella pneumoniae","573","2020-03-10","GH - Ghana",,"ERR10438024","SAMEA111504606","PRJEB56918"
"uH9qCLXB9HGRpSMcA5KAZK","SAMEA115925722","Supported","Passed","v1","Klebsiella pneumoniae","573","2021-08-30","SN - Senegal",,"ERR13492071","SAMEA115925722","PRJEB78995"
"gz4qmnkBjJwDq7sn2xK47Y","SAMEA4785017","Supported","Passed","N/A","Klebsiella pneumoniae","573","2017","NG - Nigeria",,"ERR2695867","SAMEA4785017","PRJEB27707"
"os9PxKsnWVQ1yaa4MF8a6c","SAMEA111504611","Supported","Passed","N/A","Klebsiella pneumoniae","573","2020-03-17","GH - Ghana",,"ERR10438025","SAMEA111504611","PRJEB56918"
"6A7Wk1psHh9ewryZXAJyXf","SAMEA115925712","Supported","Passed","v1","Klebsiella pneumoniae","573","2020-08-30","SN - Senegal",,"ERR13492061","SAMEA115925712","PRJEB78995"
"iCV5KZtRkyPyEau49JCQkr","SAMN36884875","Supported","Passed","N/A","Klebsiella pneumoniae","573","2016-03-01","GH - Ghana",,"SRR25565284","SAMN36884875","PRJNA473419"
"2H7LhawUkgSTwFeNQbsHfx","SAMN36943779","Supported","Passed","N/A","Klebsiella pneumoniae","573","2022-06-06","NG - Nigeria",,"SRR25609405","SAMN36943779","PRJNA800729"
"aHqRui8jXfGrasdZ9o7RMw","SAMEA7472505","Supported","Passed","N/A","Klebsiella pneumoniae","573","2016-05","NG - Nigeria","pmid:33782558","ERR4920539","SAMEA7472505","PRJEB33565"
"ajk5KRQbpVw1sMvcdSbbn1","SAMN05960949","Supported","Passed","N/A","Klebsiella pneumoniae","573","2015-12-15","NG - Nigeria",,"SRR5513475","SAMN05960949","PRJNA351846"
"cLrDJaBZwCxksJns9enuHQ","SAMEA5753763","Supported","Passed","N/A","Klebsiella pneumoniae","573","2016","SN - Senegal",,"ERR3416330","SAMEA5753763","PRJEB29143"
"9EK6nFkQxjy3n4a8BZUhs5","SAMN36884884","Supported","Passed","N/A","Klebsiella pneumoniae","573","2016-04-01","GH - Ghana",,"SRR25565298","SAMN36884884","PRJNA473419"
"opgxhkceTYBhoHePQ7i3J2","SAMEA111505116","Supported","Passed","N/A","Klebsiella pneumoniae","573","2020-04-18","NG - Nigeria",,"ERR10438913","SAMEA111505116","PRJEB56918"
"3CZfqkzSWZLhnUJapfWebH","SAMN41988748","Supported","Passed","v1","Klebsiella pneumoniae","573","2022","GH - Ghana",,"SRR29541156","SAMN41988748","PRJNA1126843"
"k4M3rSMsx1QNStuBYozfXJ","SAMN05960886","Supported","Passed","N/A","Klebsiella pneumoniae","573","2010-04-27","NG - Nigeria",,"SRR5514082","SAMN05960886","PRJNA351846"
"17cjBXCud4W8WzY9Adcadf","SAMEA6654231","Supported","Passed","N/A","Klebsiella pneumoniae","573","2017-09-21","GH - Ghana",,"ERR4008031","SAMEA6654231","PRJEB37523"
"bgSrxKwxA6HeN1jdLNgHsG","SAMEA5753739","Supported","Passed","N/A","Klebsiella pneumoniae","573","2016","SN - Senegal",,"ERR3416296","SAMEA5753739","PRJEB29143"
"uQyJaAJRdkvckdJnxkNQWD","SAMEA5753725","Supported","Passed","N/A","Klebsiella pneumoniae","573","2016","SN - Senegal",,"ERR3416281","SAMEA5753725","PRJEB29143"
"8JbGkEtkonwzJzAFhjvvPP","SAMEA7472509","Supported","Passed","N/A","Klebsiella pneumoniae","573","2016-05","NG - Nigeria","pmid:33782558","ERR4920543","SAMEA7472509","PRJEB33565"
"dQaeWNGmkR27kysq26if8M","SAMEA5753730","Supported","Passed","N/A","Klebsiella pneumoniae","573","2016","SN - Senegal",,"ERR3416286","SAMEA5753730","PRJEB29143"
"r9av7Pjq7KmtguHZVx827e","SAMEA115925713","Supported","Passed","v1","Klebsiella pneumoniae","573","2020-08-30","SN - Senegal",,"ERR13492062","SAMEA115925713","PRJEB78995"
"vJZE3Nvvtpj7S7mzx9aBLJ","SAMEA6155781","Supported","Passed","N/A","Klebsiella pneumoniae","573","2018-04-03","NG - Nigeria","pmid:34850837","ERR4783242","SAMEA6155781","PRJEB29739"
