comparison	gene	n_positive_with	n_positive	n_reference_with	n_reference	pct_positive	pct_reference	crude_or	crude_p	cmh_or	cmh_p	n_strata	crude_q	cmh_q
any	CTX-M-15	93	99	245	458	93.9	53.5	13.48	3.083520544970721e-16	8.17	0.0005013021058096036	9	1.3019308967654154e-15	0.0017317709109786307
any	LAP-2	2	99	28	458	2.0	6.1	0.32	0.13880081834187688	0.1	1.834879309719653e-05	9	0.21363699004568956	7.747268196594089e-05
any	Mrx	22	99	38	458	22.2	8.3	3.16	0.00022487569955887259	2.39	0.1171701380607727	9	0.0005340797864523223	0.2226232623154681
any	OXA-1	48	99	148	458	48.5	32.3	1.97	0.0035421876400023233	1.23	0.5133868988276795	9	0.00791783119529931	0.687718019350183
any	SCO-1	1	99	21	458	1.0	4.6	0.21	0.15025100903371988	0.43	0.5882569761664875	9	0.21363699004568956	0.7451255031442175
any	SHV-12	1	99	9	458	1.0	2.0	0.51	1.0	0.33	0.4328531773059988	9	1.0	0.6326315668318444
any	aac(3)-IIa	38	99	215	458	38.4	46.9	0.7	0.14767027521878462	0.63	0.11198394765986856	9	0.21363699004568956	0.2226232623154681
any	aac(3)-IId	30	99	16	458	30.3	3.5	12.01	5.6022345858217567e-14	6.89	0.00017899716436560654	9	2.1288491426122674e-13	0.0006801892245893048
any	aac(6')-Ib-cr	50	99	158	458	50.5	34.5	1.94	0.004014333332549539	1.08	0.8873970916671405	9	0.008474703702049027	0.9366969300930928
any	aadA	10	99	50	458	10.1	10.9	0.92	1.0	0.67	0.6860818176269199	9	1.0	0.8147221584319674
any	aadA1	0	99	15	458	0.0	3.3	0.0	0.08546452323191711	0.0	0.2687740394677928	9	0.14120225577447174	0.4255588958240053
any	aadA16	2	99	9	458	2.0	2.0	1.03	1.0	0.83	0.7201187928171523	9	1.0	0.8292277008197512
any	aadA2	58	99	33	458	58.6	7.2	18.22	1.243951588099018e-28	17.59	1.6459221553032014e-15	9	2.3635080173881345e-27	2.0848347300507217e-14
