study	n	carbapenemase_n	carbapenemase_pct	year_min	year_max	countries
PRJEB29739	139	12	8.6	2016	2018	Nigeria=139
PRJEB29143	101	0	0.0	2016	2016	Senegal=101
PRJNA351846	79	1	1.3	2009	2016	Nigeria=79
PRJEB33565	56	24	42.9	2016	2016	Nigeria=56
PRJEB56918	48	5	10.4	2020	2021	Nigeria=30; Ghana=17; Benin=1
PRJEB37523	39	29	74.4	2017	2019	Ghana=39
PRJNA473419	22	0	0.0	2015	2016	Ghana=22
PRJEB78995	21	5	23.8	2018	2021	Senegal=21
PRJEB27707	16	15	93.8	2016	2018	Nigeria=16
PRJNA800729	9	0	0.0	2015	2022	Nigeria=9
PRJEB58695	8	0	0.0	2019	2020	Ghana=6; Cameroon=2
PRJEB39293	6	6	100.0	2016	2016	Nigeria=6
PRJNA1126843	6	0	0.0	2022	2022	Ghana=6
PRJNA906096	5	0	0.0	2022	2022	Ghana=5
PRJEB38442	1	1	100.0	2017	2017	Ghana=1
PRJEB46496	1	1	100.0	2021	2021	Ghana=1
