sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
nigeria_ERR7226212	chromosome			contig00007 len=270806 cov=10.0 corr=0 origname=NODE_7_length_270806_cov_9.954207_pilon sw=shovill-spades/1.4.2 date=20260811	270806	0.5668301293176665	4907be8dab9b1d71ff19fe0d1fe7d5e5	00832	KY270853	ISKpn28	IS481	1105	1	1096	242515	243610						
nigeria_ERR7226212	chromosome			contig00013 len=217381 cov=10.9 corr=0 origname=NODE_13_length_217381_cov_10.879256_pilon sw=shovill-spades/1.4.2 date=20260811	217381	0.5652425924988844	ef98ea77bd5ae08e4376cca7c8079f7a	00590	KX242350	ISEc17	IS3	1263	1	1263	35147	36409						
nigeria_ERR7226212	plasmid	AA406	AI454	contig00021 len=76943 cov=6.5 corr=0 origname=NODE_21_length_76943_cov_6.469466_pilon sw=shovill-spades/1.4.2 date=20260811	76943	0.49992851851370496	9ea116f6f280a3effb6c0550b10e77fe	01315	CP022426	ISStma11	ISL3	4426	58	3627	73257	76832	3601	plus	81.0	85.698	0.0	3746
nigeria_ERR7226212	plasmid	AA406	AI454	contig00031 len=27060 cov=6.8 corr=2 origname=NODE_31_length_27060_cov_6.847787_pilon sw=shovill-spades/1.4.2 date=20260811	27060	0.49830007390983	e33d84a2109ca248e0b1c7eea1a113b8	00285	AP006726	ISSen8	IS21	1954	1	1954	5816	7769	1954	minus	100.0	99.949	0.0	3603
nigeria_ERR7226212	plasmid	AA406	AI454	contig00031 len=27060 cov=6.8 corr=2 origname=NODE_31_length_27060_cov_6.847787_pilon sw=shovill-spades/1.4.2 date=20260811	27060	0.49830007390983	e33d84a2109ca248e0b1c7eea1a113b8	01161	MF344567	ISKox1	IS66	2526	1	2526	17262	19787	2526	plus	100.0	99.762	0.0	4632
nigeria_ERR7226212	plasmid	AA406	AI454	contig00031 len=27060 cov=6.8 corr=2 origname=NODE_31_length_27060_cov_6.847787_pilon sw=shovill-spades/1.4.2 date=20260811	27060	0.49830007390983	e33d84a2109ca248e0b1c7eea1a113b8	00626	KU997026	ISEc27	IS3	1329	252	1329	21228	22307	1080	plus	81.0	96.574	0.0	1788
nigeria_ERR7226212	plasmid	AA406	AI454	contig00035 len=16477 cov=6.6 corr=0 origname=NODE_35_length_16477_cov_6.621471_pilon sw=shovill-spades/1.4.2 date=20260811	16477	0.507920131091825	52486ce59305273e0d7a7077dc99e2f4	00626	KU997026	ISEc27	IS3	1329	1	1329	9628	10957	1331	minus	100.0	93.464	0.0	1973
nigeria_ERR7226212	plasmid	AA406	AI454	contig00050 len=1056 cov=64.8 corr=0 origname=NODE_50_length_1056_cov_64.779894_pilon sw=shovill-spades/1.4.2 date=20260811	1056	0.5255681818181818	a35737f558930c861ce17d530261f7ad	00952	MG930932	IS102	IS5	1055	1	1055	2	1055	1056	minus	100.0	94.697	0.0	1637
nigeria_ERR7226212	plasmid	AA513		contig00039 len=6064 cov=5.9 corr=0 origname=NODE_39_length_6064_cov_5.926928_pilon sw=shovill-spades/1.4.2 date=20260811	6064	0.4658641160949868	9e20ef5f5a5439ec4debcec9d326967c	00163	KJ125070	ISEcp1	IS1380	2656	1	2656	737	3395	2661	plus	100.0	96.618	0.0	4409
nigeria_ERR7226212	plasmid	AA513		contig00048 len=1177 cov=43.7 corr=0 origname=NODE_48_length_1177_cov_43.655722_pilon sw=shovill-spades/1.4.2 date=20260811	1177	0.5097706032285472	c38b9630afa29b902a755cbd074e6b0b	00610	AP006725	ISKpn1	IS3	1445	1	1177	1	1177	1177	plus	81.0	100.0	0.0	2174
