genome_id	run_accession	sample_accession	study	ST	carbapenemase	family	country	date	fastq_1	fastq_2	fastq_bytes	read_count	paired
dSpqW4TtLMp5jxf16ShoPH	ERR4783440	SAMEA6155959	PRJEB29739	ST392	NDM-1	NDM	Nigeria		ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/000/ERR4783440/ERR4783440_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/000/ERR4783440/ERR4783440_2.fastq.gz	104786668;106974236	2320638	True
vSayktwZYDYJyC8Bz6RM7t	ERR4783560	SAMEA6422737	PRJEB29739	ST15	NDM-1	NDM	Nigeria		ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/000/ERR4783560/ERR4783560_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/000/ERR4783560/ERR4783560_2.fastq.gz	75651398;75908479	2444544	True
nxRWuuvbXsuD3fkU81Pka5	ERR2695869	SAMEA4785019	PRJEB27707	ST147	NDM-1	NDM	Nigeria	2017	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/009/ERR2695869/ERR2695869_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/009/ERR2695869/ERR2695869_2.fastq.gz	255982703;254580419	3043612	True
fP65g7jgZat9zmySmmcDEH	ERR4008040	SAMEA6654240	PRJEB37523	ST17	OXA-181	OXA	Ghana	2017-09-21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/000/ERR4008040/ERR4008040_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/000/ERR4008040/ERR4008040_2.fastq.gz	76972895;91919421	503906	True
1QC6gsyR4pdPR6Arv3PofN	ERR4920542	SAMEA7472508	PRJEB33565	ST442	NDM-1	NDM	NG - Nigeria	2016-05	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/002/ERR4920542/ERR4920542_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/002/ERR4920542/ERR4920542_2.fastq.gz	97571981;120782813	1072710	True
bL6NJqitzvkQG79RwxfPZo	ERR10438024	SAMEA111504606	PRJEB56918	ST25	OXA-181	OXA	Ghana	2020-03-10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/024/ERR10438024/ERR10438024_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/024/ERR10438024/ERR10438024_2.fastq.gz	257676762;258225418	5482336	True
gz4qmnkBjJwDq7sn2xK47Y	ERR2695867	SAMEA4785017	PRJEB27707	ST395	NDM-1	NDM	Nigeria	2017	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/007/ERR2695867/ERR2695867_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/007/ERR2695867/ERR2695867_2.fastq.gz	173297145;172206567	1992209	True
aHqRui8jXfGrasdZ9o7RMw	ERR4920539	SAMEA7472505	PRJEB33565	ST464	NDM-7	NDM	NG - Nigeria	2016-05	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/009/ERR4920539/ERR4920539_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/009/ERR4920539/ERR4920539_2.fastq.gz	88044729;104303150	966250	True
opgxhkceTYBhoHePQ7i3J2	ERR10438913	SAMEA111505116	PRJEB56918	ST147	NDM-1	NDM	Nigeria	2020-04-18	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/013/ERR10438913/ERR10438913_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/013/ERR10438913/ERR10438913_2.fastq.gz	138736884;140048601	2904634	True
17cjBXCud4W8WzY9Adcadf	ERR4008031	SAMEA6654231	PRJEB37523	ST17	OXA-181	OXA	Ghana	2017-09-21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/001/ERR4008031/ERR4008031_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/001/ERR4008031/ERR4008031_2.fastq.gz	115309450;133488405	797568	True
