sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
pw_ERR4783440	chromosome			contig00022 len=94468 cov=16.9 corr=0 origname=NODE_22_length_94468_cov_16.898004_pilon sw=shovill-spades/1.1.0 date=20260915	94468	0.5626243807426854	5ca6ef49ae1b13dbabbedbf22023e36a	00634	CP024842	IS1400	IS3	1207	1	1205	1186	2389						
pw_ERR4783440	chromosome			contig00022 len=94468 cov=16.9 corr=0 origname=NODE_22_length_94468_cov_16.898004_pilon sw=shovill-spades/1.1.0 date=20260915	94468	0.5626243807426854	5ca6ef49ae1b13dbabbedbf22023e36a	00634	CP024842	IS1400	IS3	1207	1	1197	7957	9152						
pw_ERR4783440	chromosome			contig00041 len=21998 cov=18.0 corr=0 origname=NODE_41_length_21998_cov_18.040755_pilon sw=shovill-spades/1.1.0 date=20260915	21998	0.591417401581962	7d72f5af3c76328d53a4f6a1ab5e086f	01161	MF344567	ISKox1	IS66	2526	1	2523	18432	20954						
pw_ERR4783440	chromosome			contig00067 len=2712 cov=120.1 corr=0 origname=NODE_67_length_2712_cov_120.136870_pilon sw=shovill-spades/1.1.0 date=20260915	2712	0.5320796460176991	b0e4dc01a1d9c51c9f63980525da7b48	01400	CP016586.1	23s-rRNA	23S	3027	660	2929	443	2712						
pw_ERR4783440	chromosome			contig00077 len=1445 cov=47.2 corr=0 origname=NODE_77_length_1445_cov_47.170915_pilon sw=shovill-spades/1.1.0 date=20260915	1445	0.5038062283737024	cf5c930e3f64e248f8f65168a4b7a5d3	00610	AP006725	ISKpn1	IS3	1445	1	1445	1	1445						
pw_ERR4783440	plasmid	AA405	AI439	contig00028 len=48837 cov=15.9 corr=1 origname=NODE_28_length_48837_cov_15.853405_pilon sw=shovill-spades/1.1.0 date=20260915	48837	0.4846325531871327	566bed2967770bfc78c49d323d34b5b4	01315	CP022426	ISStma11	ISL3	4426	58	3992	7456	11413	3975	minus	89.0	84.025	0.0	3770
pw_ERR4783440	plasmid	AA405	AI439	contig00049 len=12473 cov=16.5 corr=0 origname=NODE_49_length_12473_cov_16.536159_pilon sw=shovill-spades/1.1.0 date=20260915	12473	0.46877254870520324	4256d43761e8131b802784e50ea4c69d	00797	FJ410928	ISEc29	IS4	6736	462	6734	2812	9092	6281	minus	93.0	99.745	0.0	11503
pw_ERR4783440	plasmid	AA405	AI439	contig00050 len=12187 cov=19.6 corr=0 origname=NODE_50_length_12187_cov_19.587943_pilon sw=shovill-spades/1.1.0 date=20260915	12187	0.5532944941330926	cf5e6e9c6009e2e150c185925e052d5e	00917	KY978629	IS5D	IS5	9632	1	7751	828	8578	7752	plus	80.0	99.342	0.0	14031
pw_ERR4783440	plasmid	AA405	AI439	contig00050 len=12187 cov=19.6 corr=0 origname=NODE_50_length_12187_cov_19.587943_pilon sw=shovill-spades/1.1.0 date=20260915	12187	0.5532944941330926	cf5e6e9c6009e2e150c185925e052d5e	01077	NC_004851	IS630	IS630	1160	1	1160	8575	9734	1161	minus	100.0	88.458	0.0	1400
pw_ERR4783440	plasmid	AA405	AI439	contig00053 len=5500 cov=15.7 corr=0 origname=NODE_53_length_5500_cov_15.725738_pilon sw=shovill-spades/1.1.0 date=20260915	5500	0.4809090909090909	48ea96becfa987a02a7dff47d16e6ea7	00640	MF344566	ISKpn8	IS3	1443	1	1443	3880	5322	1443	plus	100.0	99.931	0.0	2660
pw_ERR4783440	plasmid	AA405	AI439	contig00078 len=1336 cov=56.7 corr=0 origname=NODE_78_length_1336_cov_56.705306_pilon sw=shovill-spades/1.1.0 date=20260915	1336	0.5494011976047904	c34c9d9a48fe4de66928cb6bd7b305b7	00593	LT898485	ISEcl1	IS3	1336	1	1336	1	1336	1336	minus	100.0	98.503	0.0	2357
pw_ERR4783440	plasmid	AA405	AI439	contig00080 len=1221 cov=44.0 corr=0 origname=NODE_80_length_1221_cov_44.048649_pilon sw=shovill-spades/1.1.0 date=20260915	1221	0.5397215397215397	1e4233fd49166709cac69982725a4438	00543	JX424614	ISKpn34	IS3	1221	1	1221	1	1221	1222	plus	100.0	89.362	0.0	1535
pw_ERR4783440	plasmid	AA405	AI439	contig00081 len=1196 cov=87.2 corr=0 origname=NODE_81_length_1196_cov_87.183410_pilon sw=shovill-spades/1.1.0 date=20260915	1196	0.540133779264214	78cdca4e23dada0ac92974064de3d8ef	00918	LT898486	ISKpn26	IS5	1197	1	1196	1	1196	1196	minus	99.0	99.164	0.0	2154
pw_ERR4783440	plasmid	AA405	AI439	contig00083 len=1096 cov=73.9 corr=0 origname=NODE_83_length_1096_cov_73.905584_pilon sw=shovill-spades/1.1.0 date=20260915	1096	0.4781021897810219	db1e1b18c7727f0709cc602f98987a59	00832	KY270853	ISKpn28	IS481	1105	1	1096	1	1096	1096	minus	99.0	99.361	0.0	1986
pw_ERR4783440	plasmid	AA276	AI083	contig00047 len=18002 cov=17.5 corr=0 origname=NODE_47_length_18002_cov_17.475658_pilon sw=shovill-spades/1.1.0 date=20260915	18002	0.4835573825130541	dd2f056a52e53627d91d2bfff27c1f6b	00543	JX424614	ISKpn34	IS3	1221	1	1221	8728	9947	1221	plus	100.0	98.69	0.0	2165
