qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
000132__HG969996|IncFII	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	235	175879	1	235	5533	5767	235	1	99.574	100.0	100.0	minus	6.03e-121	429	replicon
CP017721_00179|rep_cluster_2183	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	864	175879	37	864	5802	6629	830	146	81.928	96.0	96.0	plus	0.0	699	replicon
000107__CP014778_00094|IncFIB	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	1011	175879	1	1011	110677	111687	1011	98	90.307	100.0	100.0	minus	0.0	1325	replicon
000132__HG969996|IncFII	NC_009650.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN4, complete sequence	235	107576	1	235	5533	5767	235	1	99.574	100.0	100.0	minus	6.03e-121	429	replicon
CP017721_00179|rep_cluster_2183	NC_009650.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN4, complete sequence	864	107576	37	864	5802	6629	830	146	81.928	96.0	96.0	plus	0.0	699	replicon
000097__NC_025166_00051|IncFIB	NC_009650.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN4, complete sequence	897	107576	1	897	47010	47906	897	0	100.0	100.0	100.0	minus	0.0	1657	replicon
000204__CP008701_00115|IncR	NC_009651.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN5, complete sequence	894	88582	1	894	55475	56370	896	11	98.549	100.0	100.0	plus	0.0	1581	replicon
CP024554_00008|ColRNAI_rep_cluster_1987	NC_009652.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN6, complete sequence	411	4259	58	411	3901	4251	354	17	94.35	86.0	86.0	minus	4.86e-154	540	replicon
CP041116_00002|ColRNAI_rep_cluster_1987	NC_009653.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN7, complete sequence	519	3478	42	508	2161	2619	472	41	87.5	90.0	90.0	minus	1.34e-150	529	replicon
CP035180_00077|MOBF	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	687	175879	1	251	168273	169028	252	21	91.27	37.0	98.0	plus	0.0	366	relaxase
NC_021231_00058|MOBF	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	1753	175879	1	1753	169040	174298	1753	32	98.175	100.0	100.0	plus	0.0	3370	relaxase
CP035180_00077|MOBF	NC_009650.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN4, complete sequence	687	107576	1	251	99970	100725	252	21	91.27	37.0	98.0	plus	0.0	366	relaxase
NC_021231_00058|MOBF	NC_009650.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN4, complete sequence	1753	107576	1	1753	100737	105995	1753	32	98.175	100.0	100.0	plus	0.0	3370	relaxase
NC_014312_00116|MPF_F	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	101	175879	1	101	142966	143268	101	3	97.03	100.0	100.0	plus	3.51e-63	204	mate-pair-formation
NC_014312_00118|MPF_F	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	246	175879	1	246	143844	144581	246	2	99.187	100.0	100.0	plus	3.61e-162	494	mate-pair-formation
NC_023332_00154|MPF_F	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	474	175879	1	474	144584	146005	474	2	99.578	100.0	100.0	plus	0.0	789	mate-pair-formation
NC_021654_00004|MPF_F	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	189	175879	1	189	146620	147186	189	0	100.0	100.0	100.0	plus	2.05e-125	386	mate-pair-formation
NC_021502_00131|MPF_T	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	879	175879	1	216	149823	150470	216	4	98.148	25.0	100.0	plus	4.18e-125	415	mate-pair-formation
NC_021502_00131|MPF_T	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	879	175879	216	879	150467	152458	664	30	95.482	76.0	100.0	plus	0.0	1345	mate-pair-formation
NC_014312_00128|MPF_F	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	211	175879	1	206	152850	153467	206	3	98.544	98.0	98.0	plus	4.06e-124	384	mate-pair-formation
NC_022609_00081|MPF_F	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	330	175879	1	330	153487	154476	330	14	95.758	100.0	100.0	plus	0.0	666	mate-pair-formation
NC_019389_00080|MPF_F	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	212	175879	1	212	154492	155127	212	6	97.17	100.0	100.0	plus	8.659999999999999e-139	426	mate-pair-formation
NC_021654_00016|MPF_F	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	668	175879	15	668	155180	157141	654	10	98.471	98.0	98.0	plus	0.0	1240	mate-pair-formation
NC_019165_00034|MPF_F	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	456	175879	5	456	160035	161390	452	9	98.009	99.0	99.0	plus	0.0	817	mate-pair-formation
NC_023905_00125|MPF_F	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	949	175879	1	949	161393	164239	949	3	99.684	100.0	100.0	plus	0.0	1769	mate-pair-formation
NC_021502_00150|MPF_T	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	770	175879	1	770	166728	169037	770	23	97.013	100.0	100.0	plus	0.0	1419	mate-pair-formation
NC_014312_00116|MPF_F	NC_009650.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN4, complete sequence	101	107576	1	101	74806	75108	101	0	100.0	100.0	100.0	plus	3.29e-64	207	mate-pair-formation
NC_014312_00118|MPF_F	NC_009650.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN4, complete sequence	246	107576	1	246	75684	76421	246	1	99.593	100.0	100.0	plus	9.78e-163	496	mate-pair-formation
NC_023332_00154|MPF_F	NC_009650.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN4, complete sequence	474	107576	1	474	76424	77845	474	2	99.578	100.0	100.0	plus	0.0	793	mate-pair-formation
NC_019389_00068|MPF_F	NC_009650.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN4, complete sequence	194	107576	23	194	78028	78543	172	2	98.837	89.0	89.0	plus	1.58e-112	350	mate-pair-formation
NC_021502_00131|MPF_T	NC_009650.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN4, complete sequence	879	107576	1	879	81105	83741	879	26	97.042	100.0	100.0	plus	0.0	1761	mate-pair-formation
NC_014312_00128|MPF_F	NC_009650.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN4, complete sequence	211	107576	1	206	84133	84750	206	5	97.573	98.0	98.0	plus	1.14e-122	380	mate-pair-formation
NC_022609_00081|MPF_F	NC_009650.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN4, complete sequence	330	107576	22	330	85247	86173	309	12	96.117	94.0	94.0	plus	0.0	607	mate-pair-formation
