genome_id,genome_name,country,qc_status,species_prediction,contig_count,genome_length,n50,st,resistance_score,resistance_gene_count,bla_acquired,bla_esbl_acquired,bla_carb_acquired,virulence_score,k_type,o_type,plasmid_replicons
w6MPevbE8wpJfQejowGtQZ,SAMN36884877,Ghana,Passed,Klebsiella pneumoniae,73,5668464,289737,ST39,1,,-,CTX-M-15,-,1,K23,"O1αβ,2β",Col(pHAD28);Col440I;IncFIA(HI1);IncFIB(K);IncFII(K);IncR
rpT6nbbz9R8UF6yARvuEyz,SAMN05960897,Nigeria,Passed,Klebsiella pneumoniae,79,5154903,235866,ST34,0,,-,-,-,0,unknown (KL154),"O11αβ,2α",Col(pHAD28);IncFIA(HI1);IncFIB(K)(pCAV1099-114);IncHI1B(pNDM-MAR)
wgAdqqd6Up7MEoM7Vt6GXb,SAMEA6654218,Ghana,Passed,Klebsiella pneumoniae,84,5609627,319758,ST25,1,,LAP-2;OXA-1,CTX-M-15,-,1,K2,"O1αβ,2α",Col(pHAD28);IncFIB(K)(pCAV1099-114)
wB3Fj8XZh7JhhN3cus12eN,SAMEA111505134,Nigeria,Passed,Klebsiella pneumoniae,62,5164766,156165,ST17,0,,-,-,-,0,unknown (KL105),O2β,
fm2r9e8621BM8zH6Ly1sTk,SAMEA6155746,Nigeria,Passed,Klebsiella pneumoniae,76,5566139,408298,ST39,1,,LAP-2;OXA-1,CTX-M-15,-,0,unknown (KL116),"O1αβ,2α",IncFIA(HI1);IncFIB(K)(pCAV1099-114);IncFII(pKP91);repFIB
9RhMYsQKag5K66mFK1tD7W,SAMEA6155852,Nigeria,Passed,Klebsiella pneumoniae,56,5789294,307975,ST307,1,,OXA-1,CTX-M-15,-,0,unknown (KL102),O2β,Col(pHAD28);IncFIB(K);IncFIB(pNDM-Mar);IncHI1B(pNDM-MAR)
dSpqW4TtLMp5jxf16ShoPH,SAMEA6155959,Nigeria,Passed,Klebsiella pneumoniae,93,5704305,254722,ST392,2,,OXA-1,CTX-M-15,NDM-1,0,K27,O4,Col(pHAD28);ColpVC;IncFIB(K);IncFIB(pNDM-Mar);IncFII(K);IncHI1B(pNDM-MAR)
qGZQwxzyQbG9xv2FqV4dvb,SAMEA7472389,Nigeria,Passed,Klebsiella pneumoniae,117,5269538,92452,ST307,0,,-,-,-,0,unknown (KL102),O2β,Col(pHAD28);ColpVC
jBvDDt7BspaLmDx9ktp1U1,SAMEA6654212,Ghana,Passed,Klebsiella pneumoniae,79,5610405,270802,ST25,1,,LAP-2;OXA-1,CTX-M-15,-,1,K2,"O1αβ,2β",Col(pHAD28);IncFIB(K)(pCAV1099-114)
hqgrhRJ5wzXsFmNFw9knve,SAMEA111504603,Ghana,Passed,Klebsiella pneumoniae,81,5461145,184744,ST73,1,,SCO-1,CTX-M-15,-,1,K25,"O1αβ,2α",ColRNAI;IncFIB(K);IncFII(pKP91)
tPC3fHPm4cUAQydyX8S6Nx,SAMEA6155842,Nigeria,Passed,Klebsiella pneumoniae,19,5123109,734720,ST5241,0,,-,-,-,0,unknown (KL123),O5,Col440I;IncFIA(HI1);IncR
xiaFujBbb97VoVyVGb2yFU,SAMEA6155926,Nigeria,Passed,Klebsiella pneumoniae,51,5577582,462530,ST307,1,,OXA-1,CTX-M-15,-,0,unknown (KL102),O2β,IncFIB(K);IncFII(K)
oB3TSFz5G1nGLNfPPZjaad,SAMN45807624,Nigeria,Passed,Klebsiella pneumoniae,43,5254688,294935,ST442,0,,SCO-1,-,-,0,unknown (KL146),O2β,IncFIB(K)(pCAV1099-114)
oymroXCpnMLhvoznap35cu,SAMEA6155844,Nigeria,Passed,Klebsiella pneumoniae,66,5540754,407009,ST101,1,,OXA-1,CTX-M-15,-,1,K17,"O1αβ,2α",Col(pHAD28);Col440I;Col440II;IncFIA(HI1);IncFIB(K);IncFII(pKP91);IncR
dqMxqA3iXxzipcgh6L1Jez,SAMN05960908,Nigeria,Passed,Klebsiella pneumoniae,115,5604538,237780,ST15,1,,OXA-1,CTX-M-15,-,0,K19,"O1αβ,2β",IncFIA(HI1);IncFIB(K);IncFII(K);IncR;repB(R1701)
vpw2ESM6jajoMQ2XEVU1uU,SAMEA111505117,Nigeria,Passed,Klebsiella pneumoniae,90,5268753,147349,ST3113,1,,-,CTX-M-15,-,0,unknown (KL146),"O1αβ,2β",Col(pHAD28);Col440II;IncR
chJPYxhsbCDg8adwrZLafv,SAMEA111505125,Nigeria,Passed,Klebsiella pneumoniae,118,5359752,161911,ST4263,0,,-,-,-,0,K25,O5,Col(pHAD28);IncFIB(K)
3ndyvGuykXzTNVihqbCEFm,SAMEA7472352,Nigeria,Passed,Klebsiella pneumoniae,124,5325510,150705,ST340,1,,-,CTX-M-15,-,0,K15,O4,Col(BS512);Col(pHAD28);Col440I;Col440II;IncFIA(HI1);IncFIB(K);IncFII(K);IncR;repB(R1701)
vSayktwZYDYJyC8Bz6RM7t,SAMEA6422737,Nigeria,Passed,Klebsiella pneumoniae,76,5662252,263204,ST15,2,,OXA-1,CTX-M-15,NDM-1,1,Capsule null,"O1αβ,2α",Col(pHAD28);Col440I;ColpVC;IncFIA(HI1);IncFIB(pNDM-Mar);IncHI1B(pNDM-MAR);IncR
2zgoyJTUXSoaq7L6h7QWn6,SAMEA6155878,Nigeria,Passed,Klebsiella pneumoniae,47,5425956,439199,ST17,0,,-,-,-,0,K62,O2β,Col(pHAD28);Col440I;IncFIB(K);IncFII(pKP91);IncR
ef91Cfz9yTsJS9F1xvdgfC,SAMEA6422734,Nigeria,Passed,Klebsiella pneumoniae,110,5639168,377992,ST307,1,,OXA-1,CTX-M-15,-,0,unknown (KL102),O2β,Col(BS512);Col440I;IncFIB(K);IncFII(K)
nxRWuuvbXsuD3fkU81Pka5,SAMEA4785019,Nigeria,Passed,Klebsiella pneumoniae,101,5875118,232142,ST147,2,,OXA-1,CTX-M-15,NDM-1,1,K64,O2α,Col440I;IncFIB(K);IncFIB(pNDM-Mar);IncFIB(pQil);IncFII(K);IncHI1B(pNDM-MAR)
9sCrDmU7GUKoZJiBUQX7Ju,SAMEA7472470,Nigeria,Passed,Klebsiella pneumoniae,69,5457627,263802,ST13,1,,-,CTX-M-15,-,0,K3,"O1αβ,2β",ColRNAI;IncFIA(HI1);IncFIB(K);IncFII(K)
fP65g7jgZat9zmySmmcDEH,SAMEA6654240,Ghana,Passed,Klebsiella pneumoniae,135,5755616,143760,ST17,2,,-,CTX-M-15,OXA-181,1,K25,O5,ColKP3;IncFIB(K);IncFIB(pNDM-Mar);IncFII(pKP91);IncX3
1QC6gsyR4pdPR6Arv3PofN,SAMEA7472508,Nigeria,Passed,Klebsiella pneumoniae,93,5374612,229288,ST442,2,,OXA-1,CTX-M-15,NDM-1,0,K28,O2α,Col(pHAD28);ColpVC;IncFIA(HI1);IncFIB(K)(pCAV1099-114);IncFII(K);IncHI1B(pNDM-MAR)
wN3gr2Xzq26k75wUJNBtC1,SAMEA6155785,Nigeria,Passed,Klebsiella pneumoniae,87,5269197,194879,ST502,1,,SCO-1,CTX-M-15,-,0,K15,O4,Col440I;IncFIA(HI1);IncFIB(K)(pCAV1099-114);RepB;repB(R1701)
vTLBnVx7RFdfifC3vCaVvn,SAMEA6155816,Nigeria,Passed,Klebsiella pneumoniae,23,5124201,734247,ST5241,0,,-,-,-,0,unknown (KL123),O5,Col440I;IncFIA(HI1);IncR
ru7Tt1Xx7t3XWW6LAU7GY6,SAMN05960943,Nigeria,Passed,Klebsiella pneumoniae,50,5569326,324217,ST420,1,,-,CTX-M-15,-,0,K20,"O1αβ,2α",Col(pHAD28);Col440I;Col440II;IncFIB(K);IncFII(K);IncR
sw6a6rkZJH6Mb4A3jHLFfK,SAMEA6155817,Nigeria,Passed,Klebsiella pneumoniae,72,5488601,476255,ST4,1,,OXA-1,CTX-M-15,-,0,K13,"O1αβ,2α",Col(pHAD28);IncFIA(pBK30683);IncFIB(K);IncFII(K)
bL6NJqitzvkQG79RwxfPZo,SAMEA111504606,Ghana,Passed,Klebsiella pneumoniae,105,5717452,174902,ST25,2,,LAP-2;TEM-190^;OXA-1,CTX-M-15,OXA-181,1,K2,"O1αβ,2β",Col(pHAD28);ColKP3;IncFIB(K)(pCAV1099-114);IncFII;IncX3
gz4qmnkBjJwDq7sn2xK47Y,SAMEA4785017,Nigeria,Passed,Klebsiella pneumoniae,97,5494371,220755,ST395,2,,OXA-1,CTX-M-15,NDM-1,0,unknown (KL108),"O1αβ,2β",Col(pHAD28);IncFIB(pQil);IncFII(K);IncR
os9PxKsnWVQ1yaa4MF8a6c,SAMEA111504611,Ghana,Passed,Klebsiella pneumoniae,90,5601180,229865,ST25,1,,LAP-2;OXA-1,CTX-M-15,-,1,K2,"O1αβ,2β",Col(pHAD28);IncFIB(K)(pCAV1099-114)
iCV5KZtRkyPyEau49JCQkr,SAMN36884875,Ghana,Passed,Klebsiella pneumoniae,127,5773103,225351,ST464,1,,LAP-2;OXA-1,CTX-M-15,-,1,K53,"O1αβ,2α",ColpVC;IncFIA(HI1);IncFIB(K)(pCAV1099-114);IncFIB(pKPHS1);IncFII;IncFII(K);IncHI1B(pNDM-MAR);repB(R1701)
2H7LhawUkgSTwFeNQbsHfx,SAMN36943779,Nigeria,Passed,Klebsiella pneumoniae,150,5209856,102997,ST742-1LV,0,,-,-,-,0,unknown (KL120),O4,Col(pHAD28);IncFIB(K);IncFII(K);IncR;repB(R1701)
aHqRui8jXfGrasdZ9o7RMw,SAMEA7472505,Nigeria,Passed,Klebsiella pneumoniae,102,5653306,220949,ST464,2,,OXA-1,CTX-M-15,NDM-7,1,K53,"O1αβ,2α",Col440I;ColpVC;IncFIB(K)(pCAV1099-114);IncFIB(pQil);IncFII(K);IncHI1B(pNDM-MAR);IncX3
ajk5KRQbpVw1sMvcdSbbn1,SAMN05960949,Nigeria,Passed,Klebsiella pneumoniae,87,5552343,197288,ST17,1,,-,CTX-M-15,-,1,K25,O5,Col(pHAD28);IncFIA(HI1);IncFIB(K);IncFII(K);IncR;repB(R1701)
9EK6nFkQxjy3n4a8BZUhs5,SAMN36884884,Ghana,Passed,Klebsiella pneumoniae,75,5492889,246013,ST25,1,,LAP-2;OXA-1,CTX-M-15,-,0,K2,"O1αβ,2β",Col(pHAD28);IncFIB(K)(pCAV1099-114)
opgxhkceTYBhoHePQ7i3J2,SAMEA111505116,Nigeria,Passed,Klebsiella pneumoniae,100,5668121,172690,ST147,2,,OXA-9.v1;OXA-1,CTX-M-15,NDM-1,1,Capsule null,O2α,Col(pHAD28);IncFIB(K)(pCAV1099-114);IncFIB(pKPHS1);IncFIB(pQil);IncR;RepB
3CZfqkzSWZLhnUJapfWebH,SAMN41988748,Ghana,Passed,Klebsiella pneumoniae,64,5372577,320364,ST964,0,,-,-,-,0,unknown (KL103),"O1αβ,2α",IncFIA(HI1);IncFIB(K);IncY
k4M3rSMsx1QNStuBYozfXJ,SAMN05960886,Nigeria,Passed,Klebsiella pneumoniae,57,5431778,333576,ST48,1,,-,CTX-M-15;SHV-12,-,1,K62,"O1αβ,2α",IncFIB(K);IncFII(K);IncN
17cjBXCud4W8WzY9Adcadf,SAMEA6654231,Ghana,Passed,Klebsiella pneumoniae,79,5756635,375724,ST17,2,,-,CTX-M-15,OXA-181,1,K25,O5,ColKP3;IncFIB(K);IncFIB(pNDM-Mar);IncFII(pKP91);IncQ1;IncX3
8JbGkEtkonwzJzAFhjvvPP,SAMEA7472509,Nigeria,Passed,Klebsiella pneumoniae,112,5360306,169093,ST442,2,,OXA-1,CTX-M-15,NDM-1,0,K28,O2α,Col(pHAD28);ColpVC;IncFIA(HI1);IncFIB(K)(pCAV1099-114);IncFII(K);IncHI1B(pNDM-MAR)
vJZE3Nvvtpj7S7mzx9aBLJ,SAMEA6155781,Nigeria,Passed,Klebsiella pneumoniae,18,5124243,734680,ST5241,0,,-,-,-,0,unknown (KL123),O5,Col440I;IncFIA(HI1);IncR
1ZKLGKjWkBqdJjheeB9mFL,SAMN05960879,Nigeria,Passed,Klebsiella pneumoniae,88,5592655,377425,ST1263,1,,-,SHV-12,-,0,K10,O3αβ,Col(pHAD28);IncFIA(HI1);IncFIB(K);IncN;IncY
8YnVyxHA7nqtqzDfQdJ3mB,SAMEA8515137,Nigeria,Passed,Klebsiella pneumoniae,112,5643771,136001,ST464,2,,OXA-1,CTX-M-15,NDM-7,1,K53,"O1αβ,2α",Col440I;ColpVC;IncFIB(K)(pCAV1099-114);IncFIB(pQil);IncFII(K);IncX3
5Vzojp1ehDS15wUpA1k7aJ,SAMEA111505122,Nigeria,Passed,Klebsiella pneumoniae,105,5574750,185870,ST1552,1,,OXA-1,CTX-M-15,-,0,K25,"O1αβ,2α",Col(pHAD28);Col440I;IncFIB(K)(pCAV1099-114);IncHI1B(pNDM-MAR);repFIB
pnFzwi6DT6U9P7HitW1FMj,SAMEA4785011,Nigeria,Passed,Klebsiella pneumoniae,116,5692219,207847,ST15,2,,-,-,NDM-1,1,K48,"O1αβ,2α",Col440I;IncFIA(HI1);IncFIB(K);IncFIB(pQil);IncFII(K);IncR
dZfePqBBSqwaWSZP1wwyxd,SAMEA111504607,Ghana,Passed,Klebsiella pneumoniae,58,5440994,203878,ST218,0,,-,-,-,4,K57,O2β,RepB;repB
aV1sM8V81ttSdPBmseMK66,SAMN05960907,Nigeria,Passed,Klebsiella pneumoniae,71,5665118,286197,ST147,1,,SCO-1,CTX-M-15,-,0,K10,O3αβ,Col(pHAD28);IncFIB(K);IncFII(K)
iatBhmBrmLiAAiLsaRp5YH,SAMEA6422766,Nigeria,Passed,Klebsiella pneumoniae,62,5497045,334974,ST15,1,,OXA-1,CTX-M-15,-,0,K19,"O1αβ,2β",IncFIB(K)(pCAV1099-114);IncHI1B(pNDM-MAR);repFIB
hN9QXqRKzHjwKe8aeifrGQ,SAMEA4785012,Nigeria,Passed,Klebsiella pneumoniae,94,5497370,196863,ST395,2,,OXA-1,CTX-M-15,NDM-1,0,unknown (KL108),"O1αβ,2β",Col(pHAD28);Col440I;IncFIB(pQil);IncFII(K);IncR
