sample	ST	gene	gene_family	contig	molecule_type	primary_cluster_id	rep_type(s)	predicted_mobility
pw_ERR10438027	ST147	blaNDM-1	NDM	contig00026	plasmid	AA019	IncFIB	-
pw_ERR10438913	ST147	blaNDM-1	NDM	contig00061	plasmid	AA019	-	-
pw_ERR2695869	ST147	blaNDM-1	NDM	contig00028	plasmid	AA405	-	-
pw_ERR4783565	ST147	blaNDM-1	NDM	contig00025	plasmid	AA019	IncFIB	-
pw_ERR4783580	ST307	blaNDM-1	NDM	contig00044	plasmid	AA405	-	-
pw_ERR2695857	ST340	blaNDM-1	NDM	contig00050	plasmid	AA405	-	-
pw_ERR4783440	ST392	blaNDM-1	NDM	contig00050	plasmid	AA405	-	-
pw_ERR2695867	ST395	blaNDM-1	NDM	contig00050	chromosome	-	-	-
pw_ERR4920509	ST464	blaNDM-7	NDM	contig00111	chromosome	-	-	-
pw_ERR4920539	ST464	blaNDM-7	NDM	contig00056	plasmid	AA038	-	-
pw_ERR4008031	ST17	blaOXA-181	OXA	contig00035	plasmid	AA038	rep_cluster_1195	-
pw_ERR4008032	ST17	blaOXA-181	OXA	contig00040	plasmid	AA038	rep_cluster_1195	-
pw_ERR4008040	ST17	blaOXA-181	OXA	contig00041	plasmid	AA038	rep_cluster_1195	-
pw_ERR13492064	ST234	blaOXA-181	OXA	contig00056	plasmid	AA038	-	-
pw_ERR13492068	ST234	blaOXA-181	OXA	contig00088	plasmid	AA038	-	-
pw_ERR13492053	ST307	blaOXA-48	OXA	contig00058	plasmid	AA002	-	-
pw_ERR4783022	ST340	blaOXA-181	OXA	contig00048	plasmid	AA038	rep_cluster_1195	-
pw_ERR13492058	ST392	blaOXA-48	OXA	contig00082	plasmid	AA002	-	-
