"Genome ID","Genome Name","Version","ST","gapA","infB","mdh","pgi","phoE","rpoB","tonB"
"3WCUueHWWitxF29LDcNBg1","SAMEA5753723","mlst-3390273-3","3123",170,3,1,1,1,10,426
"1RXztsojJqnvkTR9a9NXZ6","SAMEA5753775","mlst-3390273-3","29",2,3,2,2,6,4,4
"w6MPevbE8wpJfQejowGtQZ","SAMN36884877","mlst-3390273-3","39",2,1,2,4,9,1,14
"rpT6nbbz9R8UF6yARvuEyz","SAMN05960897","mlst-3390273-3","34",2,3,6,1,9,7,4
"wgAdqqd6Up7MEoM7Vt6GXb","SAMEA6654218","mlst-3390273-3","25",2,1,1,1,10,4,13
"wB3Fj8XZh7JhhN3cus12eN","SAMEA111505134","mlst-3390273-3","17",2,1,1,1,4,4,4
"fm2r9e8621BM8zH6Ly1sTk","SAMEA6155746","mlst-3390273-3","39",2,1,2,4,9,1,14
"9RhMYsQKag5K66mFK1tD7W","SAMEA6155852","mlst-3390273-3","307",4,1,2,52,1,1,7
"dSpqW4TtLMp5jxf16ShoPH","SAMEA6155959","mlst-3390273-3","392",3,4,6,1,7,4,40
"qGZQwxzyQbG9xv2FqV4dvb","SAMEA7472389","mlst-3390273-3","307",4,1,2,52,1,1,7
"jBvDDt7BspaLmDx9ktp1U1","SAMEA6654212","mlst-3390273-3","25",2,1,1,1,10,4,13
"hqgrhRJ5wzXsFmNFw9knve","SAMEA111504603","mlst-3390273-3","73",2,3,4,1,12,6,19
"fzMzq2HmX4xgAcvRsyQ6VR","SAMEA5753759","mlst-3390273-3","1661",2,1,1,2,89,4,4
"tPC3fHPm4cUAQydyX8S6Nx","SAMEA6155842","mlst-3390273-3","5241",2,5,399,1,4,1,4
"xiaFujBbb97VoVyVGb2yFU","SAMEA6155926","mlst-3390273-3","307",4,1,2,52,1,1,7
"oB3TSFz5G1nGLNfPPZjaad","SAMN45807624","mlst-3390273-3","442",10,20,2,1,9,11,14
"vPFn7kLRcVDnEWpF1jWVsJ","SAMEA5753704","mlst-3390273-3","281",7,1,5,46,1,1,84
"oymroXCpnMLhvoznap35cu","SAMEA6155844","mlst-3390273-3","101",2,6,1,5,4,1,6
"dqMxqA3iXxzipcgh6L1Jez","SAMN05960908","mlst-3390273-3","15",1,1,1,1,1,1,1
"jD2UahaQxsHd6jRmo249J5","SAMEA5753439","mlst-3390273-3","2715",2,3,1,1,7,4,23
"vpw2ESM6jajoMQ2XEVU1uU","SAMEA111505117","mlst-3390273-3","3113",31,1,1,1,3,1,64
"chJPYxhsbCDg8adwrZLafv","SAMEA111505125","mlst-3390273-3","4263",2,1,3,26,9,1,402
"3ndyvGuykXzTNVihqbCEFm","SAMEA7472352","mlst-3390273-3","340",3,3,1,1,1,1,18
"vSayktwZYDYJyC8Bz6RM7t","SAMEA6422737","mlst-3390273-3","15",1,1,1,1,1,1,1
"2zgoyJTUXSoaq7L6h7QWn6","SAMEA6155878","mlst-3390273-3","17",2,1,1,1,4,4,4
"ef91Cfz9yTsJS9F1xvdgfC","SAMEA6422734","mlst-3390273-3","307",4,1,2,52,1,1,7
"nxRWuuvbXsuD3fkU81Pka5","SAMEA4785019","mlst-3390273-3","147",3,4,6,1,7,4,38
"h8AfVHpdtjsNg5MSHMGEP2","SAMEA5753755","mlst-3390273-3","1189",3,5,95,1,16,1,12
"9sCrDmU7GUKoZJiBUQX7Ju","SAMEA7472470","mlst-3390273-3","13",2,3,1,1,10,1,19
"fP65g7jgZat9zmySmmcDEH","SAMEA6654240","mlst-3390273-3","17",2,1,1,1,4,4,4
"1wxKRsWY6A8PVJRe5M9yHj","SAMEA5753762","mlst-3390273-3","491",51,1,5,1,9,4,13
"1QC6gsyR4pdPR6Arv3PofN","SAMEA7472508","mlst-3390273-3","442",10,20,2,1,9,11,14
"kV8NN26gn4zMzUrVmiuv4F","SAMEA115925726","mlst-3390273-3","967",2,1,19,4,9,4,34
"wN3gr2Xzq26k75wUJNBtC1","SAMEA6155785","mlst-3390273-3","502",2,53,3,1,10,4,18
"vTLBnVx7RFdfifC3vCaVvn","SAMEA6155816","mlst-3390273-3","5241",2,5,399,1,4,1,4
"ru7Tt1Xx7t3XWW6LAU7GY6","SAMN05960943","mlst-3390273-3","420",2,1,65,2,5,1,36
"sw6a6rkZJH6Mb4A3jHLFfK","SAMEA6155817","mlst-3390273-3","4",3,1,1,1,3,3,1
"4Hnraj3XgcJrSeDnYDpxAb","SAMEA5753353","mlst-3390273-3","292",2,1,2,1,1,1,4
"bL6NJqitzvkQG79RwxfPZo","SAMEA111504606","mlst-3390273-3","25",2,1,1,1,10,4,13
"uH9qCLXB9HGRpSMcA5KAZK","SAMEA115925722","mlst-3390273-3","6",2,10,1,1,14,3,20
"gz4qmnkBjJwDq7sn2xK47Y","SAMEA4785017","mlst-3390273-3","395",3,1,2,4,1,1,4
"os9PxKsnWVQ1yaa4MF8a6c","SAMEA111504611","mlst-3390273-3","25",2,1,1,1,10,4,13
"6A7Wk1psHh9ewryZXAJyXf","SAMEA115925712","mlst-3390273-3","807ddca77cad8d0aa38d762c25df0927f7c8da90",2,1,2,"98f0678ce6f05ed374a97fcbb09f51774c27fa81",9,1,14
"iCV5KZtRkyPyEau49JCQkr","SAMN36884875","mlst-3390273-3","464",2,5,2,1,26,1,2
"2H7LhawUkgSTwFeNQbsHfx","SAMN36943779","mlst-3390273-3","7461",2,1,2,4,1,1,56
"aHqRui8jXfGrasdZ9o7RMw","SAMEA7472505","mlst-3390273-3","464",2,5,2,1,26,1,2
"ajk5KRQbpVw1sMvcdSbbn1","SAMN05960949","mlst-3390273-3","17",2,1,1,1,4,4,4
"cLrDJaBZwCxksJns9enuHQ","SAMEA5753763","mlst-3390273-3","1401",2,1,1,1,9,1,4
"9EK6nFkQxjy3n4a8BZUhs5","SAMN36884884","mlst-3390273-3","25",2,1,1,1,10,4,13
"opgxhkceTYBhoHePQ7i3J2","SAMEA111505116","mlst-3390273-3","147",3,4,6,1,7,4,38
"3CZfqkzSWZLhnUJapfWebH","SAMN41988748","mlst-3390273-3","964",41,1,1,1,7,4,87
"k4M3rSMsx1QNStuBYozfXJ","SAMN05960886","mlst-3390273-3","48",2,5,2,2,7,1,10
"17cjBXCud4W8WzY9Adcadf","SAMEA6654231","mlst-3390273-3","17",2,1,1,1,4,4,4
"bgSrxKwxA6HeN1jdLNgHsG","SAMEA5753739","mlst-3390273-3","281",7,1,5,46,1,1,84
"uQyJaAJRdkvckdJnxkNQWD","SAMEA5753725","mlst-3390273-3","3124",10,3,20,1,1,10,427
"8JbGkEtkonwzJzAFhjvvPP","SAMEA7472509","mlst-3390273-3","442",10,20,2,1,9,11,14
"dQaeWNGmkR27kysq26if8M","SAMEA5753730","mlst-3390273-3","337",2,1,11,1,1,1,13
"r9av7Pjq7KmtguHZVx827e","SAMEA115925713","mlst-3390273-3","17",2,1,1,1,4,4,4
"vJZE3Nvvtpj7S7mzx9aBLJ","SAMEA6155781","mlst-3390273-3","5241",2,5,399,1,4,1,4
"1ZKLGKjWkBqdJjheeB9mFL","SAMN05960879","mlst-3390273-3","1263",4,1,1,1,12,1,35
"8YnVyxHA7nqtqzDfQdJ3mB","SAMEA8515137","mlst-3390273-3","464",2,5,2,1,26,1,2
"5Vzojp1ehDS15wUpA1k7aJ","SAMEA111505122","mlst-3390273-3","1552",2,1,2,1,3,25,2
"hNFZHi4TzoXS9HPc1dSDA8","SAMEA5753773","mlst-3390273-3","3286",2,3,2,1,12,1,112
"pnFzwi6DT6U9P7HitW1FMj","SAMEA4785011","mlst-3390273-3","15",1,1,1,1,1,1,1
"nL2Rwd36aKVaXBMmuKchbV","SAMEA115925707","mlst-3390273-3","20",2,3,1,1,4,4,4
"dZfePqBBSqwaWSZP1wwyxd","SAMEA111504607","mlst-3390273-3","218",2,3,1,1,9,4,12
"aV1sM8V81ttSdPBmseMK66","SAMN05960907","mlst-3390273-3","147",3,4,6,1,7,4,38
"geUM1oQYdtik6Xehr3Zscf","SAMEA5753355","mlst-3390273-3","3282",2,9,2,1,351,1,16
"iatBhmBrmLiAAiLsaRp5YH","SAMEA6422766","mlst-3390273-3","15",1,1,1,1,1,1,1
"hN9QXqRKzHjwKe8aeifrGQ","SAMEA4785012","mlst-3390273-3","395",3,1,2,4,1,1,4
"aWGoHCv91FJnnizvSsmbKE","SAMN05960958","mlst-3390273-3","45",2,1,1,6,7,1,12
"jpRJy2sHoCEddK5MzjPAm8","SAMEA111504612","mlst-3390273-3","1119",2,79,1,1,7,4,4
"jTcoqu2MdhH2h4g6svP51p","SAMN41988737","mlst-3390273-3","36",2,1,2,1,7,1,7
"kUP4v3dKJP9skf3bHvwXUu","SAMN05960904","mlst-3390273-3","3613",4,1,254,1,177,1,35
"kqYjA4z1VWxyg1LQ1akVnQ","SAMEA6155866","mlst-3390273-3","101",2,6,1,5,4,1,6
"uc7XTeozGMpUiurZSWSuWM","SAMN05960925","mlst-3390273-3","307",4,1,2,52,1,1,7
"xhNWCcrWXPqL9Ru7rU3mrt","SAMN05960895","mlst-3390273-3","15",1,1,1,1,1,1,1
"mbBUQEkWPfbuxaRBM3VeNf","SAMEA6155829","mlst-3390273-3","25",2,1,1,1,10,4,13
"pvabPX7NiEvSwjZkUUaUuv","SAMN36884878","mlst-3390273-3","39",2,1,2,4,9,1,14
"dyToryGFYPUg65sMmJ5YhD","SAMN05960881","mlst-3390273-3","1263",4,1,1,1,12,1,35
"wTdMVFMhJBMNS9NczV2jFY","SAMEA7472442","mlst-3390273-3","39",2,1,2,4,9,1,14
"8Zy84MWZMiScmkJwsiFnyQ","SAMEA111505123","mlst-3390273-3","3157",2,1,1,1,7,1,89
"rvGui5euCpQhNxbsBaxRQK","SAMEA6155778","mlst-3390273-3","5241",2,5,399,1,4,1,4
"koB4JkyTa9iuBJaS6ynr2d","SAMN46427849","mlst-3390273-3","464",2,5,2,1,26,1,2
"k8xYz3zN61c7cXRqG1V9mj","SAMEA5753754","mlst-3390273-3","3030",2,1,2,1,10,1,9
"gUxVpQuVi3i99x2a1hsEc7","SAMEA5753757","mlst-3390273-3","1189",3,5,95,1,16,1,12
"j62D2jwXVD9t2v2ZiXNj24","SAMEA6155834","mlst-3390273-3","5241",2,5,399,1,4,1,4
"r22EXMLiW4Z32nTtPaYYRY","SAMEA6158235","mlst-3390273-3","340",3,3,1,1,1,1,18
"wnY8BLJvKiKJj8EKgNEMqp","SAMEA111505139","mlst-3390273-3","392",3,4,6,1,7,4,40
"hv4tdSDtdCJiL7h8Erv8Qw","SAMEA7472507","mlst-3390273-3","442",10,20,2,1,9,11,14
"bJZWZD2FSBUWqM6DtiggqM","SAMEA7472468","mlst-3390273-3","464",2,5,2,1,26,1,2
"xyGww7Z1sR6wErTvaU1AXk","SAMN05960898","mlst-3390273-3","4",3,1,1,1,3,3,1
"4mRJucNety59xcCC1tY51j","SAMEA6422764","mlst-3390273-3","73",2,3,4,1,12,6,19
"emScuqyhFJCc1HeEFEmvuE","SAMEA6155893","mlst-3390273-3","17",2,1,1,1,4,4,4
"iBWRLXhehPKCwucq4oFFBv","SAMEA5753448","mlst-3390273-3","2655",2,1,1,2,27,4,4
"pW1Kpbr4jEfJfJpkB7udD1","SAMEA6155826","mlst-3390273-3","307",4,1,2,52,1,1,7
