qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
CP024497_00001|IncFIB	contig00036 len=29241 cov=15.6 corr=0 origname=NODE_36_length_29241_cov_15.570580_pilon sw=shovill-spades/1.1.0 date=20260915	1089	29241	1	1089	1565	2653	1090	72	93.211	100.0	100.0	plus	0.0	1602	replicon
000124__KP125893_00142|IncFII	contig00044 len=18459 cov=17.3 corr=0 origname=NODE_44_length_18459_cov_17.328537_pilon sw=shovill-spades/1.1.0 date=20260915	207	18459	1	207	1747	1953	207	1	99.517	100.0	100.0	minus	1.93e-105	377	replicon
000107__CP014778_00094|IncFIB	contig00047 len=18002 cov=17.5 corr=0 origname=NODE_47_length_18002_cov_17.475658_pilon sw=shovill-spades/1.1.0 date=20260915	1011	18002	1	1011	3986	4996	1011	94	90.702	100.0	100.0	minus	0.0	1347	replicon
JN420336|IncHI1B	contig00056 len=4732 cov=13.4 corr=0 origname=NODE_56_length_4732_cov_13.368968_pilon sw=shovill-spades/1.1.0 date=20260915	570	4732	1	570	848	1417	570	0	100.0	100.0	100.0	minus	0.0	1053	replicon
CP024554_00008|ColRNAI_rep_cluster_1987	contig00059 len=4278 cov=126.9 corr=0 origname=NODE_59_length_4278_cov_126.936645_pilon sw=shovill-spades/1.1.0 date=20260915	411	4278	3	411	2849	3257	409	27	93.399	99.0	99.0	minus	4.74e-174	606	replicon
JX133088|ColpVC	contig00071 len=1859 cov=169.4 corr=0 origname=NODE_71_length_1859_cov_169.418764_pilon sw=shovill-spades/1.1.0 date=20260915	193	1859	1	191	1316	1506	191	6	96.859	99.0	99.0	minus	3.06e-88	320	replicon
000562__KT346360_00001|rep_cluster_1254	contig00072 len=1850 cov=16.5 corr=0 origname=NODE_72_length_1850_cov_16.492237_pilon sw=shovill-spades/1.1.0 date=20260915	930	1850	176	930	987	1741	755	72	90.464	81.0	81.0	minus	0.0	996	replicon
CP023978_00085|MOBH	contig00038 len=26369 cov=16.3 corr=0 origname=NODE_38_length_26369_cov_16.263996_pilon sw=shovill-spades/1.1.0 date=20260915	111	26369	1	99	863	1159	99	3	96.97	89.0	89.0	minus	2.81e-51	170	relaxase
NC_021231_00058|MOBF	contig00044 len=18459 cov=17.3 corr=0 origname=NODE_44_length_18459_cov_17.328537_pilon sw=shovill-spades/1.1.0 date=20260915	1753	18459	1	1753	7121	12376	1753	84	95.151	100.0	100.0	minus	0.0	3266	relaxase
CP035180_00077|MOBF	contig00044 len=18459 cov=17.3 corr=0 origname=NODE_44_length_18459_cov_17.328537_pilon sw=shovill-spades/1.1.0 date=20260915	687	18459	1	251	12388	13143	252	18	92.46	37.0	99.0	minus	0.0	380	relaxase
