"Genome ID","Genome Name","Version","Organism Name","Organism ID","Species Name","Species ID","Genus Name","Genus ID","Reference Library","Reference ID","Matching Hashes","p-Value","Mash Distance"
"3WCUueHWWitxF29LDcNBg1","SAMEA5753723",,,,"Klebsiella pneumoniae","573","Klebsiella","570",,"Klebsiella_pneumoniae/0154.fna.gz","716/1000",0,0.00861543
"1RXztsojJqnvkTR9a9NXZ6","SAMEA5753775",,,,"Klebsiella pneumoniae","573","Klebsiella","570",,"Klebsiella_pneumoniae/0022.fna.gz","750/1000",0,0.00734051
"w6MPevbE8wpJfQejowGtQZ","SAMN36884877",,,,"Klebsiella pneumoniae","573","Klebsiella","570",,"Klebsiella_pneumoniae/0179.fna.gz","891/1000",0,0.00282712
"rpT6nbbz9R8UF6yARvuEyz","SAMN05960897",,,,"Klebsiella pneumoniae","573","Klebsiella","570",,"Klebsiella_pneumoniae/0188.fna.gz","998/1000",0,0.0000476906
"wgAdqqd6Up7MEoM7Vt6GXb","SAMEA6654218",,,,"Klebsiella pneumoniae","573","Klebsiella","570",,"Klebsiella_pneumoniae/0012.fna.gz","738/1000",0,0.00778092
"wB3Fj8XZh7JhhN3cus12eN","SAMEA111505134",,,,"Klebsiella pneumoniae","573","Klebsiella","570","Curated","Klebsiella_pneumoniae/0009.fna.gz","816/1000",0,0.00508714
"fm2r9e8621BM8zH6Ly1sTk","SAMEA6155746",,,,"Klebsiella pneumoniae","573","Klebsiella","570",,"Klebsiella_pneumoniae/0179.fna.gz","868/1000",0,0.00348975
"9RhMYsQKag5K66mFK1tD7W","SAMEA6155852",,,,"Klebsiella pneumoniae","573","Klebsiella","570",,"Klebsiella_pneumoniae/0042.fna.gz","926/1000",0,0.00186568
"dSpqW4TtLMp5jxf16ShoPH","SAMEA6155959",,,,"Klebsiella pneumoniae","573","Klebsiella","570",,"Klebsiella_pneumoniae/0082.fna.gz","829/1000",0,0.00467416
"qGZQwxzyQbG9xv2FqV4dvb","SAMEA7472389",,,,"Klebsiella pneumoniae","573","Klebsiella","570","Curated","Klebsiella_pneumoniae/0042.fna.gz","948/1000",0,0.00128842
"jBvDDt7BspaLmDx9ktp1U1","SAMEA6654212",,,,"Klebsiella pneumoniae","573","Klebsiella","570",,"Klebsiella_pneumoniae/0012.fna.gz","740/1000",0,0.00770681
"hqgrhRJ5wzXsFmNFw9knve","SAMEA111504603",,,,"Klebsiella pneumoniae","573","Klebsiella","570","Curated","Klebsiella_pneumoniae/0184.fna.gz","879/1000",0,0.00316966
"fzMzq2HmX4xgAcvRsyQ6VR","SAMEA5753759",,,,"Klebsiella pneumoniae","573","Klebsiella","570",,"Klebsiella_pneumoniae/0119.fna.gz","844/1000",0,0.00420918
"tPC3fHPm4cUAQydyX8S6Nx","SAMEA6155842",,,,"Klebsiella pneumoniae","573","Klebsiella","570",,"Klebsiella_pneumoniae/0009.fna.gz","780/1000",0,0.00628226
"xiaFujBbb97VoVyVGb2yFU","SAMEA6155926",,,,"Klebsiella pneumoniae","573","Klebsiella","570",,"Klebsiella_pneumoniae/0042.fna.gz","950/1000",0,0.00123693
"oB3TSFz5G1nGLNfPPZjaad","SAMN45807624",,,,"Klebsiella pneumoniae","573","Klebsiella","570",,"Klebsiella_pneumoniae/0069.fna.gz","850/1000",0,0.00402654
"vPFn7kLRcVDnEWpF1jWVsJ","SAMEA5753704",,,,"Klebsiella pneumoniae","573","Klebsiella","570",,"Klebsiella_pneumoniae/0161.fna.gz","903/1000",0,0.00249129
"oymroXCpnMLhvoznap35cu","SAMEA6155844",,,,"Klebsiella pneumoniae","573","Klebsiella","570",,"Klebsiella_pneumoniae/0080.fna.gz","877/1000",0,0.00322742
"dqMxqA3iXxzipcgh6L1Jez","SAMN05960908",,,,"Klebsiella pneumoniae","573","Klebsiella","570",,"Klebsiella_pneumoniae/0326.fna.gz","786/1000",0,0.00607761
"jD2UahaQxsHd6jRmo249J5","SAMEA5753439",,,,"Klebsiella pneumoniae","573","Klebsiella","570",,"Klebsiella_pneumoniae/0392.fna.gz","728/1000",0,0.0081558
"vpw2ESM6jajoMQ2XEVU1uU","SAMEA111505117",,,,"Klebsiella pneumoniae","573","Klebsiella","570","Curated","Klebsiella_pneumoniae/0294.fna.gz","828/1000",0,0.00470559
"chJPYxhsbCDg8adwrZLafv","SAMEA111505125",,,,"Klebsiella pneumoniae","573","Klebsiella","570","Curated","Klebsiella_pneumoniae/0014.fna.gz","701/1000",0,0.00920555
"3ndyvGuykXzTNVihqbCEFm","SAMEA7472352",,,,"Klebsiella pneumoniae","573","Klebsiella","570","Curated","Klebsiella_pneumoniae/0001.fna.gz","796/1000",0,0.00574147
"vSayktwZYDYJyC8Bz6RM7t","SAMEA6422737",,,,"Klebsiella pneumoniae","573","Klebsiella","570",,"Klebsiella_pneumoniae/0004.fna.gz","798/1000",0,0.00567497
"2zgoyJTUXSoaq7L6h7QWn6","SAMEA6155878",,,,"Klebsiella pneumoniae","573","Klebsiella","570",,"Klebsiella_pneumoniae/0009.fna.gz","810/1000",0,0.00528099
"ef91Cfz9yTsJS9F1xvdgfC","SAMEA6422734",,,,"Klebsiella pneumoniae","573","Klebsiella","570",,"Klebsiella_pneumoniae/0042.fna.gz","941/1000",0,0.00146992
"nxRWuuvbXsuD3fkU81Pka5","SAMEA4785019",,,,"Klebsiella pneumoniae","573","Klebsiella","570",,"Klebsiella_pneumoniae/0082.fna.gz","856/1000",0,0.00384578
