"Genome ID","Genome Name","Contig","Match ID","Group","Inc Match","Percent Identity","Match Coverage","Contig Start","Contig End","Reference Start","Reference End"
"3WCUueHWWitxF29LDcNBg1","SAMEA5753723","NODE_31_length_4187_cov_33.140656","NODE_31_length_4187_cov_33.140656:3068..3186:Col(pHAD28)_1__KU674895:82.512723","","Col(pHAD28)",90.83,90.84,"3068","3186","1","120"
"1RXztsojJqnvkTR9a9NXZ6","SAMEA5753775","NODE_62_length_16757_cov_20.097491","NODE_62_length_16757_cov_20.097491:15922..16172:IncR_1__DQ449578:100.000000","","IncR",100,100,"15922","16172","1","251"
"1RXztsojJqnvkTR9a9NXZ6","SAMEA5753775","NODE_70_length_12679_cov_12.197043","NODE_70_length_12679_cov_12.197043:10537..10974:RepB_1_pC39_CP061702.1:99.543379","","RepB",99.54,100,"10537","10974","1","438"
"1RXztsojJqnvkTR9a9NXZ6","SAMEA5753775","NODE_101_length_4484_cov_18.362372","NODE_101_length_4484_cov_18.362372:1531..1678:IncFII(K)_1__CP000648:97.297297","","IncFII(K)",97.3,100,"1531","1678","1","148"
"w6MPevbE8wpJfQejowGtQZ","SAMN36884877","NODE_29_length_32627_cov_42.649348","NODE_29_length_32627_cov_42.649348:9511..9658:IncFII(K)_1__CP000648:97.297297","","IncFII(K)",97.3,100,"9511","9658","1","148"
"w6MPevbE8wpJfQejowGtQZ","SAMN36884877","NODE_36_length_15252_cov_52.973999","NODE_36_length_15252_cov_52.973999:5523..5773:IncR_1__DQ449578:100.000000","","IncR",100,100,"5523","5773","1","251"
"w6MPevbE8wpJfQejowGtQZ","SAMN36884877","NODE_38_length_12478_cov_43.422086","NODE_38_length_12478_cov_43.422086:4125..4684:IncFIB(K)_1__JN233704:100.000000","","IncFIB(K)",100,100,"4125","4684","1","560"
"w6MPevbE8wpJfQejowGtQZ","SAMN36884877","NODE_43_length_4449_cov_184.101839","NODE_43_length_4449_cov_184.101839:512..642:Col(pHAD28)_1__KU674895:92.366412","","Col(pHAD28)",92.37,100,"512","642","1","131"
"w6MPevbE8wpJfQejowGtQZ","SAMN36884877","NODE_47_length_3721_cov_166.991441","NODE_47_length_3721_cov_166.991441:551..660:Col440I_1__CP023920:91.228070","","Col440I",94.55,96.49,"551","660","1","110"
"w6MPevbE8wpJfQejowGtQZ","SAMN36884877","NODE_56_length_1557_cov_55.644324","NODE_56_length_1557_cov_55.644324:394..780:IncFIA(HI1)_1__AF250878:98.195876","","IncFIA(HI1)",98.45,99.74,"394","780","2","388"
"rpT6nbbz9R8UF6yARvuEyz","SAMN05960897","NODE_46_length_13219_cov_28.954802","NODE_46_length_13219_cov_28.954802:2033..2592:IncFIB(K)(pCAV1099-114)_1__CP011596:99.642857","","IncFIB(K)(pCAV1099-114)",99.64,100,"2033","2592","1","560"
"rpT6nbbz9R8UF6yARvuEyz","SAMN05960897","NODE_49_length_10306_cov_24.070442","NODE_49_length_10306_cov_24.070442:2746..3133:IncFIA(HI1)_1__AF250878:96.907216","","IncFIA(HI1)",96.91,100,"2746","3133","1","388"
"rpT6nbbz9R8UF6yARvuEyz","SAMN05960897","NODE_51_length_8669_cov_25.798250","NODE_51_length_8669_cov_25.798250:622..1191:IncHI1B(pNDM-MAR)_1__JN420336:99.473684","","IncHI1B(pNDM-MAR)",99.47,100,"622","1191","1","570"
"rpT6nbbz9R8UF6yARvuEyz","SAMN05960897","NODE_57_length_6361_cov_71.342862","NODE_57_length_6361_cov_71.342862:5781..5911:Col(pHAD28)_1__KU674895:92.366412","","Col(pHAD28)",92.37,100,"5781","5911","1","131"
"wgAdqqd6Up7MEoM7Vt6GXb","SAMEA6654218","NODE_38_length_11682_cov_12.930415","NODE_38_length_11682_cov_12.930415:5221..5780:IncFIB(K)(pCAV1099-114)_1__CP011596:100.000000","","IncFIB(K)(pCAV1099-114)",100,100,"5221","5780","1","560"
"wgAdqqd6Up7MEoM7Vt6GXb","SAMEA6654218","NODE_50_length_3866_cov_813.534377","NODE_50_length_3866_cov_813.534377:120..250:Col(pHAD28)_1__KU674895:92.366412","","Col(pHAD28)",92.37,100,"120","250","1","131"
"wgAdqqd6Up7MEoM7Vt6GXb","SAMEA6654218","NODE_52_length_3454_cov_832.823249","NODE_52_length_3454_cov_832.823249:368..498:Col(pHAD28)_1__KU674895:92.366412","","Col(pHAD28)",92.37,100,"368","498","1","131"
"fm2r9e8621BM8zH6Ly1sTk","SAMEA6155746","NODE_15_length_90502_cov_6.828656","NODE_15_length_90502_cov_6.828656:79985..80372:IncFIA(HI1)_1__AF250878:97.164948","","IncFIA(HI1)",97.16,100,"79985","80372","1","388"
"fm2r9e8621BM8zH6Ly1sTk","SAMEA6155746","NODE_15_length_90502_cov_6.828656","NODE_15_length_90502_cov_6.828656:52596..52825:IncFII(pKP91)_1__CP000966:100.000000","","IncFII(pKP91)",100,100,"52596","52825","1","230"
"fm2r9e8621BM8zH6Ly1sTk","SAMEA6155746","NODE_20_length_35115_cov_8.580735","NODE_20_length_35115_cov_8.580735:26011..26570:IncFIB(K)(pCAV1099-114)_1__CP011596:99.642857","","IncFIB(K)(pCAV1099-114)",99.64,100,"26011","26570","1","560"
"fm2r9e8621BM8zH6Ly1sTk","SAMEA6155746","NODE_20_length_35115_cov_8.580735","NODE_20_length_35115_cov_8.580735:33856..34298:repFIB_pC39_CP061701:97.968397","","repFIB",97.97,100,"33856","34298","1","443"
