sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
ghana_GCF_025660315.1	chromosome			NZ_JAOURE010000034.1 Klebsiella pneumoniae strain P157 contig00065, whole genome shotgun sequence	49824	0.5044556840077071	33d89bddcf0963dce05ed946363da93a	00028	JX424614	ISEc21	IS110	1374	1	1374	13099	14472						
ghana_GCF_025660315.1	chromosome			NZ_JAOURE010000034.1 Klebsiella pneumoniae strain P157 contig00065, whole genome shotgun sequence	49824	0.5044556840077071	33d89bddcf0963dce05ed946363da93a	01163	NC_002695	ISSgsp1	IS66	3044	357	2799	41933	44372						
ghana_GCF_025660315.1	chromosome			NZ_JAOURE010000034.1 Klebsiella pneumoniae strain P157 contig00065, whole genome shotgun sequence	49824	0.5044556840077071	33d89bddcf0963dce05ed946363da93a	01362	MF344564	ISKpn21	ISNCY	2278	1	2278	47543	49820						
ghana_GCF_025660315.1	chromosome			NZ_JAOURE010000045.1 Klebsiella pneumoniae strain P157 contig00082, whole genome shotgun sequence	40341	0.4964924022706428	778e7b846b8a5234b247c70a264023cc	01320	CP016763	ISCfr12	ISL3	1316	1	1316	5966	7281						
ghana_GCF_025660315.1	chromosome			NZ_JAOURE010000083.1 Klebsiella pneumoniae strain P157 contig00146, whole genome shotgun sequence	9623	0.48955627143302505	800b6b077f64a09745c036e2fc7e3f4b	00645	MF072965	ISBrsa1	IS3	1250	12	1250	4221	5455						
ghana_GCF_025660315.1	plasmid	AA170	AH819	NZ_JAOURE010000044.1 Klebsiella pneumoniae strain P157 contig00081, whole genome shotgun sequence	41011	0.5154226914730194	cd07abd151829d457859fda198ed0b76	01171	AP010953	ISCro1	IS66	2699	1	2699	38280	40978	2699	plus	100.0	99.926	0.0	4974
ghana_GCF_025660315.1	plasmid	AA277	AI089	NZ_JAOURE010000078.1 Klebsiella pneumoniae strain P157 contig00136, whole genome shotgun sequence	13263	0.5025258237201237	a50859efbe76169b7f4906e0175294d7	00952	MG930932	IS102	IS5	1055	52	1055	130	1133	1004	minus	95.0	91.833	0.0	1400
ghana_GCF_025660315.1	plasmid	AA277	AI089	NZ_JAOURE010000117.1 Klebsiella pneumoniae strain P157 contig00202, whole genome shotgun sequence	2679	0.47891004106009705	5b9246753cb0e18b044c7ece9adc45c0	00543	JX424614	ISKpn34	IS3	1221	1	1221	585	1804	1221	plus	100.0	98.771	0.0	2170
ghana_GCF_025660315.1	plasmid	AA277	AI089	NZ_JAOURE010000134.1 Klebsiella pneumoniae strain P157 contig00235, whole genome shotgun sequence	1207	0.5534382767191384	f8215fd434b7394ae6c2431628e671f3	00593	LT898485	ISEcl1	IS3	1336	48	1254	1	1207	1207	plus	90.0	98.343	0.0	2119
ghana_GCF_025660315.1	plasmid	AC434		NZ_JAOURE010000131.1 Klebsiella pneumoniae strain P157 contig00229, whole genome shotgun sequence	1403	0.5039201710620099	aaef44a336e86b0502c6ec7796251748	00610	AP006725	ISKpn1	IS3	1445	22	1424	1	1403	1403	plus	97.0	99.929	0.0	2586
