sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	249498	251049						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	252021	254388						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	00918	LT898486	ISKpn26	IS5	1197	1	1196	308207	309402						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	01291	MF156708	ISKpn25	ISL3	2239	1	2239	1081261	1083500						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	00955	MF344566	ISPan1	IS5	1057	1	1057	1511788	1512844						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	01362	MF344564	ISKpn21	ISNCY	2278	1	2278	1892102	1894379						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	00918	LT898486	ISKpn26	IS5	1197	1	1196	1961166	1962361						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	00918	LT898486	ISKpn26	IS5	1197	1	1196	2266956	2268151						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	00610	AP006725	ISKpn1	IS3	1445	1	1445	2819940	2821384						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	3199621	3201988						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	3202868	3204419						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	00610	AP006725	ISKpn1	IS3	1445	1	1445	3652900	3654344						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	4038788	4041155						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	4041890	4043441						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	00610	AP006725	ISKpn1	IS3	1445	1	1445	4276414	4277858						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	4558730	4560281						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	4561161	4563528						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	4663360	4664911						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	4665947	4668314						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	4755217	4756768						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	4757731	4760098						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	4800346	4801897						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	4802777	4805144						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	00610	AP006725	ISKpn1	IS3	1445	1	1445	4950121	4951565						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	01399	CP016586.1	16s-rRNA	16S	1554	1	1554	5198388	5199939						
GCF_000016305.1_ASM1630v1_genomic.fna	chromosome			NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence	5315120	0.5747857056849139	ba2c536ce9e72c87dff9a80054f9da1e	01400	CP016586.1	23s-rRNA	23S	3027	660	3027	5200819	5203186						
GCF_000016305.1_ASM1630v1_genomic.fna	plasmid	AA274	AI067	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	175879	0.5169065095889788	82cfd573e9d8ca4160140a1e2750be7a	00954	MF344567	IS903	IS5	1057	1	1057	14486	15542	1057	minus	100.0	99.622	0.0	1930
GCF_000016305.1_ASM1630v1_genomic.fna	plasmid	AA274	AI067	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	175879	0.5169065095889788	82cfd573e9d8ca4160140a1e2750be7a	00918	LT898486	ISKpn26	IS5	1197	1	1196	40445	41640	1196	minus	99.0	98.746	0.0	2126
GCF_000016305.1_ASM1630v1_genomic.fna	plasmid	AA274	AI067	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	175879	0.5169065095889788	82cfd573e9d8ca4160140a1e2750be7a	01362	MF344564	ISKpn21	ISNCY	2278	1	2278	52789	55066	2278	minus	100.0	99.956	0.0	4202
GCF_000016305.1_ASM1630v1_genomic.fna	plasmid	AA274	AI067	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	175879	0.5169065095889788	82cfd573e9d8ca4160140a1e2750be7a	00593	LT898485	ISEcl1	IS3	1336	1	1336	94807	96142	1336	plus	100.0	98.428	0.0	2351
GCF_000016305.1_ASM1630v1_genomic.fna	plasmid	AA274	AI067	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	175879	0.5169065095889788	82cfd573e9d8ca4160140a1e2750be7a	00593	LT898485	ISEcl1	IS3	1336	1	1336	103042	104377	1336	plus	100.0	98.428	0.0	2351
GCF_000016305.1_ASM1630v1_genomic.fna	plasmid	AA274	AI067	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	175879	0.5169065095889788	82cfd573e9d8ca4160140a1e2750be7a	00954	MF344567	IS903	IS5	1057	1	1057	105747	106803	1057	minus	100.0	99.432	0.0	1919
GCF_000016305.1_ASM1630v1_genomic.fna	plasmid	AA274	AI067	NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence	175879	0.5169065095889788	82cfd573e9d8ca4160140a1e2750be7a	00832	KY270853	ISKpn28	IS481	1105	1	1096	132633	133728	1096	minus	99.0	99.909	0.0	2019
GCF_000016305.1_ASM1630v1_genomic.fna	plasmid	AA018	AH562	NC_009650.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN4, complete sequence	107576	0.5344035844426266	d392f3f498d44cd8fbf441deeda792f6	01263	MG053108	ISAeme2	ISAs1	6172	1698	5181	15368	18851	3485	plus	56.0	98.164	0.0	6080
GCF_000016305.1_ASM1630v1_genomic.fna	plasmid	AA018	AH562	NC_009650.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN4, complete sequence	107576	0.5344035844426266	d392f3f498d44cd8fbf441deeda792f6	01263	MG053108	ISAeme2	ISAs1	6172	4660	6172	21379	22889	1513	plus	25.0	99.009	0.0	2710
GCF_000016305.1_ASM1630v1_genomic.fna	plasmid	AA018	AH562	NC_009650.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN4, complete sequence	107576	0.5344035844426266	d392f3f498d44cd8fbf441deeda792f6	01291	MF156708	ISKpn25	ISL3	2239	1	2239	41145	43384	2240	minus	100.0	96.875	0.0	3747
GCF_000016305.1_ASM1630v1_genomic.fna	plasmid	AB183	AJ824	NC_009651.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN5, complete sequence	88582	0.5381680251066808	ba97aa57c4ddb38dc052db95f9c302db	00073	KY495890	IS5075	IS110	5282	1868	4806	15006	17944	2939	plus	56.0	97.482	0.0	5018
GCF_000016305.1_ASM1630v1_genomic.fna	plasmid	AB183	AJ824	NC_009651.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN5, complete sequence	88582	0.5381680251066808	ba97aa57c4ddb38dc052db95f9c302db	00073	KY495890	IS5075	IS110	5282	1	1208	67869	69076	1208	minus	23.0	99.917	0.0	2226
