sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
pw_ERR4920509:AB531	1	108480	0.5237094395280236	c84e207be81b320e2c92e0e5a306b19b	rep_cluster_1	000232__CP012429	-	-	-	-	-	-	non-mobilizable	LR025090	0.015616	Klebsiella pneumoniae	AB531	AK353	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
pw_ERR4920509:AA448	3	74446	0.5150175966472342	0c1559346b66172f3989a63056c2cbca	IncFII,rep_cluster_2183	000129__CP018340,CP033468_00001	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_019155_00032,NC_019165_00034,NC_021654_00016,NC_019389_00080,NC_022609_00081,NC_014312_00128,NC_021231_00085,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	MH917122	0.0298031	Klebsiella pneumoniae	AA448	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
pw_ERR4920509:AA037	24	134170	0.49763732578072595	23ce67dc03b1acb25105947f56cd4ad0	IncFIB,IncHI1B,IncX3	000097__NC_025166_00051,JN420336,JN247852	MOBP	NC_020552_00059	MPF_T	NC_017624_00009,NC_019083_00030,NC_019157_00030,NC_019157_00029,NC_023277_00163	-	-	conjugative	CP028781	0.0427316	Klebsiella pneumoniae subsp. pneumoniae	AA037	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	18606786; 11254626; 19482926; 15781495; 26842776; 20851899; 16257053; 22470007
pw_ERR4920509:AC434	2	23967	0.5277673467684734	03ec9662e40801a976bff1e1234b04fe	-	-	-	-	-	-	-	-	non-mobilizable	CP014125	0.0401734	Klebsiella pneumoniae	AC434	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
pw_ERR4920509:AA816	10	65783	0.47656689418238757	6145b471ee1bae6fb76be36811dd5a53	IncFIB	000107__CP014778_00094	-	-	-	-	-	-	non-mobilizable	CP023917	0.0279555	Klebsiella pneumoniae	AA816	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
pw_ERR4920509:AA019	1	15759	0.5144361951900501	34293dcbb4515316840302af1b07fae7	-	-	-	-	-	-	-	-	non-mobilizable	NC_021656	0.0400373	Klebsiella pneumoniae	AA019	-	genus	Klebsiella	genus	Klebsiella	-	-	-
pw_ERR4920509:AA107	1	4968	0.43478260869565216	60b1ce4784cf355bcb5f6c41d67f4ccf	ColRNAI_rep_cluster_1987	CP024554_00008	-	-	-	-	-	-	non-mobilizable	KU302807	0.023602	Enterobacter cloacae	AA107	AH728	multi-phylla	Actinomycetota,Pseudomonadota	multi-phylla	Actinomycetota,Pseudomonadota	-	-	-
pw_ERR4920509:AB237	1	1907	0.5647614053487152	81e263df5606f04d3d6a3136e373c048	ColpVC	JX133088	-	-	-	-	-	-	non-mobilizable	CP023263	0.0	Escherichia coli	AB237	AJ934	order	Enterobacterales	order	Enterobacterales	-	-	-
