"Genome ID","Genome Name","QC","Genome Length","No. Contigs","Largest contig","GC Content","N50","Ns per 100 kbp","Average Contig Length"
"3WCUueHWWitxF29LDcNBg1","SAMEA5753723","Passed","5413836","45","779817","57.31","361760","5.63",120307
"1RXztsojJqnvkTR9a9NXZ6","SAMEA5753775","Passed","5748397","187","388952","56.90","122255","3.62",30740
"w6MPevbE8wpJfQejowGtQZ","SAMN36884877","Passed","5668464","73","674664","57.06","289737","15.75",77650
"rpT6nbbz9R8UF6yARvuEyz","SAMN05960897","Passed","5154903","79","540910","57.58","235866","1.92",65252
"wgAdqqd6Up7MEoM7Vt6GXb","SAMEA6654218","Passed","5609627","84","468169","57.10","319758","14.58",66781
"wB3Fj8XZh7JhhN3cus12eN","SAMEA111505134","Passed","5164766","62","465769","57.58","156165","20.48",83303
"fm2r9e8621BM8zH6Ly1sTk","SAMEA6155746","Passed","5566139","76","765489","57.25","408298","8.93",73239
"9RhMYsQKag5K66mFK1tD7W","SAMEA6155852","Passed","5789294","56","1250614","56.75","307975","10.36",103380
"dSpqW4TtLMp5jxf16ShoPH","SAMEA6155959","Passed","5704305","93","740127","56.76","254722","8.61",61337
"qGZQwxzyQbG9xv2FqV4dvb","SAMEA7472389","Passed","5269538","117","314458","57.57","92452","8.08",45039
"jBvDDt7BspaLmDx9ktp1U1","SAMEA6654212","Passed","5610405","79","455463","57.10","270802","17.66",71018
"hqgrhRJ5wzXsFmNFw9knve","SAMEA111504603","Passed","5461145","81","551928","57.18","184744","16.46",67422
"fzMzq2HmX4xgAcvRsyQ6VR","SAMEA5753759","Passed","5117412","53","502561","57.68","298155","6.98",96555
"tPC3fHPm4cUAQydyX8S6Nx","SAMEA6155842","Passed","5123109","19","2234895","57.70","734720","13.37",269637
"xiaFujBbb97VoVyVGb2yFU","SAMEA6155926","Passed","5577582","51","927536","57.14","462530","13.84",109364
"oB3TSFz5G1nGLNfPPZjaad","SAMN45807624","Passed","5254688","43","903772","57.47","294935","9.61",122202
"vPFn7kLRcVDnEWpF1jWVsJ","SAMEA5753704","Passed","5326880","62","728740","57.42","314756","3.74",85917
"oymroXCpnMLhvoznap35cu","SAMEA6155844","Passed","5540754","66","695624","57.03","407009","5.38",83951
"dqMxqA3iXxzipcgh6L1Jez","SAMN05960908","Passed","5604538","115","670898","57.10","237780","3.41",48735
"jD2UahaQxsHd6jRmo249J5","SAMEA5753439","Passed","5298900","53","490910","57.46","297808","3.66",99979
"vpw2ESM6jajoMQ2XEVU1uU","SAMEA111505117","Passed","5268753","90","456196","57.34","147349","17.31",58542
"chJPYxhsbCDg8adwrZLafv","SAMEA111505125","Passed","5359752","118","352524","57.44","161911","27.97",45422
"3ndyvGuykXzTNVihqbCEFm","SAMEA7472352","Passed","5325510","124","345067","57.40","150705","3.83",42948
"vSayktwZYDYJyC8Bz6RM7t","SAMEA6422737","Passed","5662252","76","775826","56.82","263204","12.27",74503
"2zgoyJTUXSoaq7L6h7QWn6","SAMEA6155878","Passed","5425956","47","753411","57.38","439199","12.77",115446
"ef91Cfz9yTsJS9F1xvdgfC","SAMEA6422734","Passed","5639168","110","1295607","57.08","377992","13.87",51265
"nxRWuuvbXsuD3fkU81Pka5","SAMEA4785019","Passed","5875118","101","587893","56.58","232142","20.15",58169
"h8AfVHpdtjsNg5MSHMGEP2","SAMEA5753755","Passed","5427558","59","964936","57.19","361725","3.65",91993
"9sCrDmU7GUKoZJiBUQX7Ju","SAMEA7472470","Passed","5457627","69","424566","57.22","263802","5.41",79096
"fP65g7jgZat9zmySmmcDEH","SAMEA6654240","Passed","5755616","135","571222","56.70","143760","11.75",42634
"1wxKRsWY6A8PVJRe5M9yHj","SAMEA5753762","Passed","5320365","83","401768","57.34","208551","1.90",64101
"1QC6gsyR4pdPR6Arv3PofN","SAMEA7472508","Passed","5374612","93","455998","57.29","229288","5.54",57792
"kV8NN26gn4zMzUrVmiuv4F","SAMEA115925726","Passed","5492122","82","527505","57.11","210113","7.21",66977
"wN3gr2Xzq26k75wUJNBtC1","SAMEA6155785","Passed","5269197","87","368944","57.38","194879","16.99",60565
"vTLBnVx7RFdfifC3vCaVvn","SAMEA6155816","Passed","5124201","23","2061080","57.70","734247","19.05",222791
"ru7Tt1Xx7t3XWW6LAU7GY6","SAMN05960943","Passed","5569326","50","579295","57.06","324217","5.35",111387
"sw6a6rkZJH6Mb4A3jHLFfK","SAMEA6155817","Passed","5488601","72","1599871","57.22","476255","21.41",76231
