sample_id	scheme	ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB
GCF_000016305.1_ASM1630v1_genomic	kpneumoniae	38	gapA(2)	infB(1)	mdh(2)	pgi(1)	phoE(2)	rpoB(2)	tonB(2)
ghana_GCA_022968005.1	kpneumoniae	1996	gapA(2)	infB(1)	mdh(2)	pgi(2)	phoE(1)	rpoB(1)	tonB(68)
ghana_GCA_022968085.1	kpneumoniae	464	gapA(2)	infB(5)	mdh(2)	pgi(1)	phoE(26)	rpoB(1)	tonB(2)
ghana_GCA_022968155.1	kpneumoniae	39	gapA(2)	infB(1)	mdh(2)	pgi(4)	phoE(9)	rpoB(1)	tonB(14)
ghana_GCA_022968255.1	kpneumoniae	1552	gapA(2)	infB(1)	mdh(2)	pgi(1)	phoE(3)	rpoB(25)	tonB(2)
ghana_GCA_022968275.1	kpneumoniae	815	gapA(2)	infB(1)	mdh(2)	pgi(1)	phoE(7)	rpoB(1)	tonB(12)
ghana_GCA_022968285.1	kpneumoniae	636	gapA(2)	infB(5)	mdh(1)	pgi(1)	phoE(4)	rpoB(1)	tonB(4)
ghana_GCA_022968315.1	kpneumoniae	39	gapA(2)	infB(1)	mdh(2)	pgi(4)	phoE(9)	rpoB(1)	tonB(14)
ghana_GCA_022968365.1	kpneumoniae	39	gapA(2)	infB(1)	mdh(2)	pgi(4)	phoE(9)	rpoB(1)	tonB(14)
ghana_GCA_022968715.1	kpneumoniae	307	gapA(4)	infB(1)	mdh(2)	pgi(52)	phoE(1)	rpoB(1)	tonB(7)
ghana_GCA_022968735.1	kpneumoniae	39	gapA(2)	infB(1)	mdh(2)	pgi(4)	phoE(9)	rpoB(1)	tonB(14)
ghana_GCA_022968745.1	kpneumoniae	-	gapA(2)	infB(6)	mdh(237?)	pgi(1)	phoE(3)	rpoB(28)	tonB(64)
ghana_GCA_025660315.1	kpneumoniae	-	gapA(-)	infB(-)	mdh(-)	pgi(-)	phoE(-)	rpoB(-)	tonB(-)
ghana_GCF_022968005.1	kpneumoniae	1996	gapA(2)	infB(1)	mdh(2)	pgi(2)	phoE(1)	rpoB(1)	tonB(68)
ghana_GCF_022968085.1	kpneumoniae	464	gapA(2)	infB(5)	mdh(2)	pgi(1)	phoE(26)	rpoB(1)	tonB(2)
ghana_GCF_022968155.1	kpneumoniae	39	gapA(2)	infB(1)	mdh(2)	pgi(4)	phoE(9)	rpoB(1)	tonB(14)
ghana_GCF_022968255.1	kpneumoniae	1552	gapA(2)	infB(1)	mdh(2)	pgi(1)	phoE(3)	rpoB(25)	tonB(2)
ghana_GCF_022968275.1	kpneumoniae	815	gapA(2)	infB(1)	mdh(2)	pgi(1)	phoE(7)	rpoB(1)	tonB(12)
ghana_GCF_022968285.1	kpneumoniae	636	gapA(2)	infB(5)	mdh(1)	pgi(1)	phoE(4)	rpoB(1)	tonB(4)
ghana_GCF_022968315.1	kpneumoniae	39	gapA(2)	infB(1)	mdh(2)	pgi(4)	phoE(9)	rpoB(1)	tonB(14)
ghana_GCF_022968365.1	kpneumoniae	39	gapA(2)	infB(1)	mdh(2)	pgi(4)	phoE(9)	rpoB(1)	tonB(14)
ghana_GCF_022968715.1	kpneumoniae	307	gapA(4)	infB(1)	mdh(2)	pgi(52)	phoE(1)	rpoB(1)	tonB(7)
ghana_GCF_022968735.1	kpneumoniae	39	gapA(2)	infB(1)	mdh(2)	pgi(4)	phoE(9)	rpoB(1)	tonB(14)
ghana_GCF_025660315.1	kpneumoniae	-	gapA(-)	infB(-)	mdh(-)	pgi(-)	phoE(-)	rpoB(-)	tonB(-)
nigeria_ERR7226174	kpneumoniae	3321	gapA(2)	infB(4)	mdh(1)	pgi(42)	phoE(26)	rpoB(4)	tonB(18)
nigeria_ERR7226188	kpneumoniae	86	gapA(9)	infB(4)	mdh(2)	pgi(1)	phoE(1)	rpoB(1)	tonB(27)
nigeria_ERR7226212	kpneumoniae	86	gapA(9)	infB(4)	mdh(2)	pgi(1)	phoE(1)	rpoB(1)	tonB(27)
