genome_id	run_accession	sample_accession	study	ST	carbapenemase	family	country	date	fastq_1	fastq_2	fastq_bytes	read_count	paired	rationale
fP65g7jgZat9zmySmmcDEH	ERR4008040	SAMEA6654240	PRJEB37523	ST17	OXA-181	OXA	Ghana	2017-09-21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/000/ERR4008040/ERR4008040_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/000/ERR4008040/ERR4008040_2.fastq.gz	76972895;91919421	503906	True	ST17: monophyletic 28-genome OXA-181 outbreak: one plasmid behind it?
17cjBXCud4W8WzY9Adcadf	ERR4008031	SAMEA6654231	PRJEB37523	ST17	OXA-181	OXA	Ghana	2017-09-21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/001/ERR4008031/ERR4008031_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/001/ERR4008031/ERR4008031_2.fastq.gz	115309450;133488405	797568	True	ST17: monophyletic 28-genome OXA-181 outbreak: one plasmid behind it?
oGSv5BjAnBd2ofvw7ZBZEz	ERR4008032	SAMEA6654232	PRJEB37523	ST17	OXA-181	OXA	Ghana	2017-09-21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/002/ERR4008032/ERR4008032_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR400/002/ERR4008032/ERR4008032_2.fastq.gz	109955558;129817498	760697	True	ST17: monophyletic 28-genome OXA-181 outbreak: one plasmid behind it?
jBBWXA8udJH12wFK6SRUnY	ERR13492068	SAMEA115925719	PRJEB78995	ST234	OXA-181	OXA	SN	2020-08-30	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/068/ERR13492068/ERR13492068_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/068/ERR13492068/ERR13492068_2.fastq.gz	367504415;375792589	8339452	True	ST234: OXA-181 in an unrelated lineage: same plasmid as ST17?
6MHXM1WJLUdmMekDndtf9o	ERR13492064	SAMEA115925715	PRJEB78995	ST234	OXA-181	OXA	SN	2020-08-30	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/064/ERR13492064/ERR13492064_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/064/ERR13492064/ERR13492064_2.fastq.gz	200943437;205107760	4491682	True	ST234: OXA-181 in an unrelated lineage: same plasmid as ST17?
opgxhkceTYBhoHePQ7i3J2	ERR10438913	SAMEA111505116	PRJEB56918	ST147	NDM-1	NDM	Nigeria	2020-04-18	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/013/ERR10438913/ERR10438913_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/013/ERR10438913/ERR10438913_2.fastq.gz	138736884;140048601	2904634	True	ST147: NDM-1 acquired 3 separate times in one ST: same plasmid each time?
nxRWuuvbXsuD3fkU81Pka5	ERR2695869	SAMEA4785019	PRJEB27707	ST147	NDM-1	NDM	Nigeria	2017	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/009/ERR2695869/ERR2695869_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/009/ERR2695869/ERR2695869_2.fastq.gz	255982703;254580419	3043612	True	ST147: NDM-1 acquired 3 separate times in one ST: same plasmid each time?
7LgrgfhCCcAtm1zUX8QJRr	ERR4783565	SAMEA6422746	PRJEB29739	ST147	NDM-1	NDM	Nigeria		ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/005/ERR4783565/ERR4783565_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/005/ERR4783565/ERR4783565_2.fastq.gz	64634218;63631509	2111950	True	ST147: NDM-1 acquired 3 separate times in one ST: same plasmid each time?
kVaSn9PWDtVoXozYzBTQFk	ERR10438027	SAMEA111504609	PRJEB56918	ST147	NDM-1	NDM	Ghana	2020-03-17	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/027/ERR10438027/ERR10438027_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/027/ERR10438027/ERR10438027_2.fastq.gz	131374601;132381993	2749108	True	ST147: NDM-1 acquired 3 separate times in one ST: same plasmid each time?
aHqRui8jXfGrasdZ9o7RMw	ERR4920539	SAMEA7472505	PRJEB33565	ST464	NDM-7	NDM	NG - Nigeria	2016-05	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/009/ERR4920539/ERR4920539_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/009/ERR4920539/ERR4920539_2.fastq.gz	88044729;104303150	966250	True	ST464: NDM-7 not NDM-1: different allele, possibly same vehicle
