qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
CP016722|MOB_unknown	NZ_JALJUT010000058.1 Klebsiella pneumoniae strain P144 contig00058, whole genome shotgun sequence	218	6237	1	187	3156	3340	188	20	87.234	86.0	86.0	plus	2.1799999999999998e-55	211	oriT
CP032196_00054|rep_cluster_2469	NZ_JALJUT010000014.1 Klebsiella pneumoniae strain P144 contig00014, whole genome shotgun sequence	1113	109297	1	1113	94845	95957	1113	4	99.641	100.0	100.0	minus	0.0	2034	replicon
CP024497_00001|IncFIB	NZ_JALJUT010000045.1 Klebsiella pneumoniae strain P144 contig00045, whole genome shotgun sequence	1089	20810	1	1089	4085	5173	1090	72	93.211	100.0	100.0	minus	0.0	1602	replicon
000107__CP014778_00094|IncFIB	NZ_JALJUT010000053.1 Klebsiella pneumoniae strain P144 contig00053, whole genome shotgun sequence	1011	11169	1	1011	3054	4064	1011	98	90.307	100.0	100.0	plus	0.0	1325	replicon
CP041116_00002|ColRNAI_rep_cluster_1987	NZ_JALJUT010000058.1 Klebsiella pneumoniae strain P144 contig00058, whole genome shotgun sequence	519	6237	38	515	2690	3174	487	47	88.09	92.0	92.0	minus	2.83e-162	568	replicon
CP041116_00002|ColRNAI_rep_cluster_1987	NZ_JALJUT010000059.1 Klebsiella pneumoniae strain P144 contig00059, whole genome shotgun sequence	519	5131	42	519	2445	2921	482	37	90.456	92.0	92.0	plus	4.600000000000001e-180	627	replicon
JN420336|IncHI1B	NZ_JALJUT010000063.1 Klebsiella pneumoniae strain P144 contig00063, whole genome shotgun sequence	570	4264	1	570	3138	3707	570	1	99.825	100.0	100.0	minus	0.0	1048	replicon
CP035180_00077|MOBF	NZ_JALJUT010000030.1 Klebsiella pneumoniae strain P144 contig00030, whole genome shotgun sequence	687	49497	1	251	31205	31960	252	17	92.857	37.0	98.0	plus	0.0	379	relaxase
NC_021231_00058|MOBF	NZ_JALJUT010000030.1 Klebsiella pneumoniae strain P144 contig00030, whole genome shotgun sequence	1753	49497	1	1753	31972	37230	1753	32	98.175	100.0	100.0	plus	0.0	3367	relaxase
CP023822_00060|MOBP	NZ_JALJUT010000033.1 Klebsiella pneumoniae strain P144 contig00033, whole genome shotgun sequence	1190	42939	1	1190	7858	11427	1190	43	96.387	100.0	100.0	plus	0.0	2334	relaxase
CP023978_00085|MOBH	NZ_JALJUT010000040.1 Klebsiella pneumoniae strain P144 contig00040, whole genome shotgun sequence	111	27131	1	99	25828	26124	99	3	96.97	89.0	89.0	plus	3.12e-51	170	relaxase
NC_013090_00004|MOBP	NZ_JALJUT010000058.1 Klebsiella pneumoniae strain P144 contig00058, whole genome shotgun sequence	499	6237	1	499	3757	5247	499	42	91.182	100.0	100.0	plus	0.0	876	relaxase
NC_014312_00116|MPF_F	NZ_JALJUT010000030.1 Klebsiella pneumoniae strain P144 contig00030, whole genome shotgun sequence	101	49497	1	101	6454	6756	101	3	97.03	100.0	100.0	plus	3.48e-63	204	mate-pair-formation
NC_014312_00118|MPF_F	NZ_JALJUT010000030.1 Klebsiella pneumoniae strain P144 contig00030, whole genome shotgun sequence	246	49497	1	246	7332	8069	246	1	99.593	100.0	100.0	plus	9.68e-163	496	mate-pair-formation
NC_023332_00154|MPF_F	NZ_JALJUT010000030.1 Klebsiella pneumoniae strain P144 contig00030, whole genome shotgun sequence	474	49497	1	474	8072	9493	474	1	99.789	100.0	100.0	plus	0.0	791	mate-pair-formation
NC_021231_00085|MPF_F	NZ_JALJUT010000030.1 Klebsiella pneumoniae strain P144 contig00030, whole genome shotgun sequence	189	49497	1	189	10126	10692	189	5	97.354	100.0	100.0	plus	1.06e-93	295	mate-pair-formation
NC_021502_00131|MPF_T	NZ_JALJUT010000030.1 Klebsiella pneumoniae strain P144 contig00030, whole genome shotgun sequence	879	49497	1	879	13328	15964	879	32	96.359	100.0	100.0	plus	0.0	1758	mate-pair-formation
NC_014312_00128|MPF_F	NZ_JALJUT010000030.1 Klebsiella pneumoniae strain P144 contig00030, whole genome shotgun sequence	211	49497	1	206	16356	16973	206	4	98.058	98.0	98.0	plus	7.54e-124	383	mate-pair-formation
NC_022609_00081|MPF_F	NZ_JALJUT010000030.1 Klebsiella pneumoniae strain P144 contig00030, whole genome shotgun sequence	330	49497	1	330	16993	17982	330	14	95.758	100.0	100.0	plus	0.0	666	mate-pair-formation
NC_019389_00080|MPF_F	NZ_JALJUT010000030.1 Klebsiella pneumoniae strain P144 contig00030, whole genome shotgun sequence	212	49497	1	212	17998	18633	212	6	97.17	100.0	100.0	plus	3.26e-139	427	mate-pair-formation
NC_021654_00016|MPF_F	NZ_JALJUT010000030.1 Klebsiella pneumoniae strain P144 contig00030, whole genome shotgun sequence	668	49497	15	668	18686	20647	654	13	98.012	98.0	98.0	plus	0.0	1230	mate-pair-formation
NC_019165_00034|MPF_F	NZ_JALJUT010000030.1 Klebsiella pneumoniae strain P144 contig00030, whole genome shotgun sequence	456	49497	5	456	23511	24866	452	9	98.009	99.0	99.0	plus	0.0	817	mate-pair-formation
NC_014312_00141|MPF_F	NZ_JALJUT010000030.1 Klebsiella pneumoniae strain P144 contig00030, whole genome shotgun sequence	940	49497	1	940	24869	27688	940	5	99.468	100.0	100.0	plus	0.0	1873	mate-pair-formation
NC_021502_00150|MPF_T	NZ_JALJUT010000030.1 Klebsiella pneumoniae strain P144 contig00030, whole genome shotgun sequence	770	49497	1	770	29660	31969	770	14	98.182	100.0	100.0	plus	0.0	1447	mate-pair-formation
NC_011148_00022|MPF_T	NZ_JALJUT010000033.1 Klebsiella pneumoniae strain P144 contig00033, whole genome shotgun sequence	673	42939	1	673	27418	29436	673	107	84.101	100.0	100.0	minus	0.0	1117	mate-pair-formation
NC_011148_00025|MPF_T	NZ_JALJUT010000033.1 Klebsiella pneumoniae strain P144 contig00033, whole genome shotgun sequence	262	42939	1	262	32009	32794	262	29	88.931	100.0	100.0	minus	1.26e-153	471	mate-pair-formation
NC_011148_00028|MPF_T	NZ_JALJUT010000033.1 Klebsiella pneumoniae strain P144 contig00033, whole genome shotgun sequence	841	42939	1	819	34557	37019	821	115	85.749	97.0	97.0	minus	0.0	1483	mate-pair-formation
NC_017903_00051|MPF_T	NZ_JALJUT010000033.1 Klebsiella pneumoniae strain P144 contig00033, whole genome shotgun sequence	350	42939	1	350	41889	42938	350	52	85.143	100.0	100.0	plus	0.0	566	mate-pair-formation
NC_023911_00309|MPF_F	NZ_JALJUT010000034.1 Klebsiella pneumoniae strain P144 contig00034, whole genome shotgun sequence	286	41605	1	286	9001	9858	286	22	92.308	100.0	100.0	plus	3.6499999999999997e-175	534	mate-pair-formation
NC_018107_00235|MPF_F	NZ_JALJUT010000034.1 Klebsiella pneumoniae strain P144 contig00034, whole genome shotgun sequence	389	41605	1	389	9863	11029	389	26	93.316	100.0	100.0	plus	0.0	709	mate-pair-formation
NC_016980_00099|MPF_T	NZ_JALJUT010000034.1 Klebsiella pneumoniae strain P144 contig00034, whole genome shotgun sequence	905	41605	1	905	14990	17704	905	1	99.89	100.0	100.0	plus	0.0	1845	mate-pair-formation
NC_016980_00109|MPF_F	NZ_JALJUT010000034.1 Klebsiella pneumoniae strain P144 contig00034, whole genome shotgun sequence	453	41605	1	453	27181	28539	453	1	99.779	100.0	100.0	plus	0.0	935	mate-pair-formation
NC_016980_00110|MPF_F	NZ_JALJUT010000034.1 Klebsiella pneumoniae strain P144 contig00034, whole genome shotgun sequence	345	41605	1	345	28539	29573	345	0	100.0	100.0	100.0	plus	0.0	719	mate-pair-formation
NC_018107_00101|MPF_F	NZ_JALJUT010000040.1 Klebsiella pneumoniae strain P144 contig00040, whole genome shotgun sequence	480	27131	1	480	18913	20355	481	13	97.089	100.0	100.0	minus	0.0	926	mate-pair-formation
NC_016980_00240|MPF_F	NZ_JALJUT010000043.1 Klebsiella pneumoniae strain P144 contig00043, whole genome shotgun sequence	708	25919	1	708	22378	24501	708	21	97.034	100.0	100.0	minus	0.0	1441	mate-pair-formation
