cluster	sample_a	sample_b	st_a	st_b	gene_a	gene_b	comparison	mash_distance	mash_ani_estimate	blast_identity	coverage_a_in_b	coverage_b_in_a	min_coverage	same_plasmid
AA002	pw_ERR13492053	pw_ERR13492058	ST307	ST392	blaOXA-48	blaOXA-48	cross-ST	0.00163	99.84	99.54	99.9	94.3	94.3	True
AA019	pw_ERR10438027	pw_ERR10438913	ST147	ST147	blaNDM-1	blaNDM-1	within-ST	0.00789	99.21	99.96	73.9	97.0	73.9	False
AA019	pw_ERR10438027	pw_ERR4783565	ST147	ST147	blaNDM-1	blaNDM-1	within-ST	0.01263	98.74	99.96	67.5	86.8	67.5	False
AA019	pw_ERR10438913	pw_ERR4783565	ST147	ST147	blaNDM-1	blaNDM-1	within-ST	0.00819	99.18	99.86	85.2	83.8	83.8	True
AA038	pw_ERR13492064	pw_ERR13492068	ST234	ST234	blaOXA-181	blaOXA-181	within-ST	0.00046	99.95	99.97	97.6	100.0	97.6	True
AA038	pw_ERR13492064	pw_ERR4008031	ST234	ST17	blaOXA-181	blaOXA-181	cross-ST	0.00486	99.51	99.96	100.0	82.2	82.2	True
AA038	pw_ERR13492064	pw_ERR4008032	ST234	ST17	blaOXA-181	blaOXA-181	cross-ST	0.00305	99.69	99.97	98.7	89.3	89.3	True
AA038	pw_ERR13492064	pw_ERR4008040	ST234	ST17	blaOXA-181	blaOXA-181	cross-ST	0.00144	99.86	99.97	97.7	95.8	95.8	True
AA038	pw_ERR13492064	pw_ERR4783022	ST234	ST340	blaOXA-181	blaOXA-181	cross-ST	0.00271	99.73	99.97	92.3	95.8	92.3	True
AA038	pw_ERR13492064	pw_ERR4920539	ST234	ST464	blaOXA-181	blaNDM-7	cross-ST	0.01365	98.64	99.95	80.2	70.7	70.7	False
AA038	pw_ERR13492068	pw_ERR4008031	ST234	ST17	blaOXA-181	blaOXA-181	cross-ST	0.00528	99.47	99.96	100.0	80.2	80.2	True
AA038	pw_ERR13492068	pw_ERR4008032	ST234	ST17	blaOXA-181	blaOXA-181	cross-ST	0.00346	99.65	99.97	98.7	87.1	87.1	True
AA038	pw_ERR13492068	pw_ERR4008040	ST234	ST17	blaOXA-181	blaOXA-181	cross-ST	0.00189	99.81	99.97	97.7	93.4	93.4	True
AA038	pw_ERR13492068	pw_ERR4783022	ST234	ST340	blaOXA-181	blaOXA-181	cross-ST	0.0032	99.68	99.97	92.1	93.2	92.1	True
AA038	pw_ERR13492068	pw_ERR4920539	ST234	ST464	blaOXA-181	blaNDM-7	cross-ST	0.01335	98.66	99.95	82.0	70.7	70.7	False
AA038	pw_ERR4008031	pw_ERR4008032	ST17	ST17	blaOXA-181	blaOXA-181	within-ST	0.00233	99.77	99.97	90.9	100.0	90.9	True
AA038	pw_ERR4008031	pw_ERR4008040	ST17	ST17	blaOXA-181	blaOXA-181	within-ST	0.00467	99.53	99.98	83.9	100.0	83.9	True
AA038	pw_ERR4008031	pw_ERR4783022	ST17	ST340	blaOXA-181	blaOXA-181	cross-ST	0.00604	99.4	99.97	79.2	100.0	79.2	False
AA038	pw_ERR4008031	pw_ERR4920539	ST17	ST464	blaOXA-181	blaNDM-7	cross-ST	0.01048	98.95	99.86	78.8	84.6	78.8	False
AA038	pw_ERR4008032	pw_ERR4008040	ST17	ST17	blaOXA-181	blaOXA-181	within-ST	0.0023	99.77	99.98	92.4	100.0	92.4	True
AA038	pw_ERR4008032	pw_ERR4783022	ST17	ST340	blaOXA-181	blaOXA-181	cross-ST	0.00418	99.58	99.97	86.1	98.7	86.1	True
AA038	pw_ERR4008032	pw_ERR4920539	ST17	ST464	blaOXA-181	blaNDM-7	cross-ST	0.01002	99.0	99.95	81.7	79.6	79.6	False
AA038	pw_ERR4008040	pw_ERR4783022	ST17	ST340	blaOXA-181	blaOXA-181	cross-ST	0.00266	99.73	99.97	92.2	97.7	92.2	True
AA038	pw_ERR4008040	pw_ERR4920539	ST17	ST464	blaOXA-181	blaNDM-7	cross-ST	0.01282	98.72	99.96	80.6	72.4	72.4	False
AA038	pw_ERR4783022	pw_ERR4920539	ST340	ST464	blaOXA-181	blaNDM-7	cross-ST	0.01498	98.5	99.96	79.7	67.9	67.9	False
AA405	pw_ERR2695857	pw_ERR2695869	ST340	ST147	blaNDM-1	blaNDM-1	cross-ST	0.01385	98.62	98.12	80.8	92.4	80.8	True
AA405	pw_ERR2695857	pw_ERR4783440	ST340	ST392	blaNDM-1	blaNDM-1	cross-ST	0.0139	98.61	97.76	84.5	87.8	84.5	True
AA405	pw_ERR2695857	pw_ERR4783580	ST340	ST307	blaNDM-1	blaNDM-1	cross-ST	0.01023	98.98	97.78	85.2	93.4	85.2	True
AA405	pw_ERR2695869	pw_ERR4783440	ST147	ST392	blaNDM-1	blaNDM-1	cross-ST	0.00577	99.42	99.19	95.0	85.8	85.8	True
AA405	pw_ERR2695869	pw_ERR4783580	ST147	ST307	blaNDM-1	blaNDM-1	cross-ST	0.01176	98.82	98.48	84.7	81.4	81.4	True
AA405	pw_ERR4783440	pw_ERR4783580	ST392	ST307	blaNDM-1	blaNDM-1	cross-ST	0.01326	98.67	97.09	79.9	84.6	79.9	False
