genome_id,genome_name,country,qc_status,species_prediction,contig_count,genome_length,n50,st,resistance_score,resistance_gene_count,bla_acquired,bla_esbl_acquired,bla_carb_acquired,virulence_score,k_type,o_type,plasmid_replicons
3WCUueHWWitxF29LDcNBg1,SAMEA5753723,Senegal,Passed,Klebsiella pneumoniae,45,5413836,361760,ST3123,0,,-,-,-,0,K34,O2α,Col(pHAD28)
1RXztsojJqnvkTR9a9NXZ6,SAMEA5753775,Senegal,Passed,Klebsiella pneumoniae,187,5748397,122255,ST29,0,,-,-,-,1,K2,"O1αβ,2β",IncFII(K);IncR;RepB
w6MPevbE8wpJfQejowGtQZ,SAMN36884877,Ghana,Passed,Klebsiella pneumoniae,73,5668464,289737,ST39,1,,-,CTX-M-15,-,1,K23,"O1αβ,2β",Col(pHAD28);Col440I;IncFIA(HI1);IncFIB(K);IncFII(K);IncR
rpT6nbbz9R8UF6yARvuEyz,SAMN05960897,Nigeria,Passed,Klebsiella pneumoniae,79,5154903,235866,ST34,0,,-,-,-,0,unknown (KL154),"O11αβ,2α",Col(pHAD28);IncFIA(HI1);IncFIB(K)(pCAV1099-114);IncHI1B(pNDM-MAR)
wgAdqqd6Up7MEoM7Vt6GXb,SAMEA6654218,Ghana,Passed,Klebsiella pneumoniae,84,5609627,319758,ST25,1,,LAP-2;OXA-1,CTX-M-15,-,1,K2,"O1αβ,2α",Col(pHAD28);IncFIB(K)(pCAV1099-114)
wB3Fj8XZh7JhhN3cus12eN,SAMEA111505134,Nigeria,Passed,Klebsiella pneumoniae,62,5164766,156165,ST17,0,,-,-,-,0,unknown (KL105),O2β,
fm2r9e8621BM8zH6Ly1sTk,SAMEA6155746,Nigeria,Passed,Klebsiella pneumoniae,76,5566139,408298,ST39,1,,LAP-2;OXA-1,CTX-M-15,-,0,unknown (KL116),"O1αβ,2α",IncFIA(HI1);IncFIB(K)(pCAV1099-114);IncFII(pKP91);repFIB
9RhMYsQKag5K66mFK1tD7W,SAMEA6155852,Nigeria,Passed,Klebsiella pneumoniae,56,5789294,307975,ST307,1,,OXA-1,CTX-M-15,-,0,unknown (KL102),O2β,Col(pHAD28);IncFIB(K);IncFIB(pNDM-Mar);IncHI1B(pNDM-MAR)
dSpqW4TtLMp5jxf16ShoPH,SAMEA6155959,Nigeria,Passed,Klebsiella pneumoniae,93,5704305,254722,ST392,2,,OXA-1,CTX-M-15,NDM-1,0,K27,O4,Col(pHAD28);ColpVC;IncFIB(K);IncFIB(pNDM-Mar);IncFII(K);IncHI1B(pNDM-MAR)
qGZQwxzyQbG9xv2FqV4dvb,SAMEA7472389,Nigeria,Passed,Klebsiella pneumoniae,117,5269538,92452,ST307,0,,-,-,-,0,unknown (KL102),O2β,Col(pHAD28);ColpVC
jBvDDt7BspaLmDx9ktp1U1,SAMEA6654212,Ghana,Passed,Klebsiella pneumoniae,79,5610405,270802,ST25,1,,LAP-2;OXA-1,CTX-M-15,-,1,K2,"O1αβ,2β",Col(pHAD28);IncFIB(K)(pCAV1099-114)
