sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
ghana_GCA_022968255.1	chromosome			JALJUS010000001.1 Klebsiella pneumoniae strain P136 contig00001, whole genome shotgun sequence	431941	0.5833782854602828	a0f793a5938b5f0040f316ddebc8a5ab	00590	KX242350	ISEc17	IS3	1263	1	1263	241354	242612						
ghana_GCA_022968255.1	plasmid	AA402	AI429	JALJUS010000049.1 Klebsiella pneumoniae strain P136 contig00049, whole genome shotgun sequence	29157	0.5222416572349693	65bff649d34a37c87d3ad01e4ed92e5c	01161	MF344567	ISKox1	IS66	2526	1	2526	971	3496	2526	plus	100.0	99.565	0.0	4604
ghana_GCA_022968255.1	plasmid	AA402	AI429	JALJUS010000049.1 Klebsiella pneumoniae strain P136 contig00049, whole genome shotgun sequence	29157	0.5222416572349693	65bff649d34a37c87d3ad01e4ed92e5c	00626	KU997026	ISEc27	IS3	1329	252	1329	23437	24516	1080	plus	81.0	96.759	0.0	1799
ghana_GCA_022968255.1	plasmid	AA402	AI429	JALJUS010000061.1 Klebsiella pneumoniae strain P136 contig00061, whole genome shotgun sequence	11381	0.4580441086020561	b4f3167ba8915e8ad9f9af19ed3a7420	00429	MF344562	ISKpn38	IS3	1598	125	1598	9340	10813	1474	minus	92.0	99.389	0.0	2673
ghana_GCA_022968255.1	plasmid	AA402	AI429	JALJUS010000065.1 Klebsiella pneumoniae strain P136 contig00065, whole genome shotgun sequence	8462	0.47400141810446705	a460390e36aa65e8a9d19dc2e4f2e477	00278	KY320277	ISSen3	IS21	1956	1	1955	1	1955	1955	minus	99.0	99.898	0.0	3600
ghana_GCA_022968255.1	plasmid	AA402	AI429	JALJUS010000075.1 Klebsiella pneumoniae strain P136 contig00075, whole genome shotgun sequence	4913	0.39568491756564217	faa3cbb90b0efd56c0963eb801da7447	00543	JX424614	ISKpn34	IS3	1221	1	1221	3434	4654	1221	minus	100.0	98.853	0.0	2178
ghana_GCA_022968255.1	plasmid	AA402	AI429	JALJUS010000079.1 Klebsiella pneumoniae strain P136 contig00079, whole genome shotgun sequence	4298	0.5304792926942764	4ca9a40ef00071e854a812bd86dd6603	01163	NC_002695	ISSgsp1	IS66	3044	358	2798	1862	4298	2446	plus	80.0	87.612	0.0	2826
ghana_GCA_022968255.1	plasmid	AB192		JALJUS010000062.1 Klebsiella pneumoniae strain P136 contig00062, whole genome shotgun sequence	11260	0.5901420959147424	df766b9ad6bd6c2c8d78e23bb6b8f356	01029	KU997026	IS6100	IS6	5466	474	3757	1600	4885	3287	plus	60.0	99.574	0.0	5989
ghana_GCA_022968255.1	plasmid	AB192		JALJUS010000062.1 Klebsiella pneumoniae strain P136 contig00062, whole genome shotgun sequence	11260	0.5901420959147424	df766b9ad6bd6c2c8d78e23bb6b8f356	01029	KU997026	IS6100	IS6	5466	4123	5466	6282	7625	1344	plus	25.0	99.926	0.0	2477
ghana_GCA_022968255.1	plasmid	AB192		JALJUS010000066.1 Klebsiella pneumoniae strain P136 contig00066, whole genome shotgun sequence	7375	0.4676610169491525	9261c249ffb20799006295ce223f3383	00163	KJ125070	ISEcp1	IS1380	2656	1	2656	2161	4819	2661	plus	100.0	96.618	0.0	4409
ghana_GCA_022968255.1	plasmid	AB192		JALJUS010000097.1 Klebsiella pneumoniae strain P136 contig00097, whole genome shotgun sequence	1403	0.5032074126870991	8fafa69b3d5d5065620f0bfb74a250e9	00610	AP006725	ISKpn1	IS3	1445	22	1424	1	1403	1403	plus	97.0	99.857	0.0	2580
ghana_GCA_022968255.1	plasmid	AB192		JALJUS010000100.1 Klebsiella pneumoniae strain P136 contig00100, whole genome shotgun sequence	1154	0.5346620450606586	4efa75998856a7fcf39ddd2b1db05dc9	00918	LT898486	ISKpn26	IS5	1197	22	1175	1	1154	1154	plus	96.0	99.047	0.0	2071
